date,rank,ranking changes,title,artist,score,seqmom,release,genre
2022.04.30,193,-30,거리에서,성시경,8317454,15960,2006.10.10,발라드
2022.04.30,194,-42,좋아좋아,조정석,8244880,2202616,2021.07.16,댄스/팝
2022.04.30,195,-59,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy),8244295,2258977,2021.10.28,발라드
2022.04.30,196,-2,Dance Monkey,Tones And I,8170814,1819891,2019.08.29,알앤비/소울
2022.04.30,197,-26,첫눈처럼 너에게 가겠다,에일리 (Ailee),8163413,1166003,2017.01.07,OST
2022.04.30,198,new,That That (prod. & feat. SUGA of BTS),싸이 (Psy),8140671,2364951,2022.04.29,댄스
2022.04.30,199,+72,있잖아,폴킴,8130872,1293832,2017.07.21,발라드
2022.04.30,200,new,Rewind,NCT DREAM,8117529,2347661,2022.03.28,댄스/팝
2022.05.31,1,HOT,That That (prod. & feat. SUGA of BTS),싸이 (Psy),137948270,2364951,2022.04.29,댄스
2022.05.31,2,+2,LOVE DIVE,IVE (아이브),122521397,2352090,2022.04.05,댄스/팝
2022.05.31,3,-1,TOMBOY,(여자)아이들,119151979,2338101,2022.03.14,댄스/팝
2022.05.31,4,-3,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),118668370,2352088,2022.04.05,댄스/팝
2022.05.31,5,new,다시 만날 수 있을까,임영웅,112284570,2368354,2022.05.02,발라드
2022.05.31,6,-1,사랑인가 봐,멜로망스(Melomance),101414630,2322874,2022.02.18,댄스/팝
2022.05.31,7,-4,Feel My Rhythm,레드벨벳(Red Velvet),82941907,2342439,2022.03.21,댄스/팝
2022.05.31,8,HOT,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),75062181,2360242,2022.04.20,인디
2022.05.31,9,+19,LOVE me,BE`O (비오),72838441,2355956,2022.04.12,랩/힙합
2022.05.31,10,-4,GANADARA (Feat. 아이유),박재범,70007830,2334028,2022.03.11,알앤비/소울
2022.05.31,11,-4,취중고백,김민석,69418870,2291415,2021.12.19,발라드
2022.05.31,12,HOT,나의 X에게,경서,68355489,2362532,2022.04.24,인디
2022.05.31,13,-2,사랑은 늘 도망가,임영웅,63352852,2250335,2021.10.11,발라드
2022.05.31,14,+80,ZOOM,제시(Jessi),61682957,2356114,2022.04.13,랩/힙합
2022.05.31,15,-6,우리들의 블루스,임영웅,59925334,2358766,2022.05.02,발라드
2022.05.31,16,-8,INVU,태연 (TAEYEON),59766562,2321943,2022.02.14,댄스/팝
2022.05.31,17,-1,신호등,이무진,57565434,2160835,2021.05.14,댄스/팝
2022.05.31,18,-8,듣고 싶을까,MSG워너비(M.O.M),56229431,2326957,2022.02.26,발라드
2022.05.31,19,-7,ELEVEN,IVE (아이브),54092023,2280458,2021.12.01,댄스/팝
2022.05.31,20,new,FEARLESS,LE SSERAFIM (르세라핌),51717234,2368339,2022.05.02,댄스/팝
2022.05.31,21,-6,다정히 내 이름을 부르면,"경서예지, 전건호",50286410,2165559,2021.05.19,발라드
2022.05.31,22,-5,Stay,"The Kid LAROI, Justin Bieber",48133363,2198878,2021.07.09,팝
2022.05.31,23,+1,MY BAG,(여자)아이들,47726181,2338094,2022.03.14,댄스/팝
2022.05.31,24,-10,SMILEY (Feat. BIBI),YENA(최예나),44796927,2309210,2022.01.17,댄스/팝
2022.05.31,25,+56,That`s Hilarious,Charlie Puth,44351237,2352479,2022.04.08,팝
2022.05.31,26,-8,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,42996539,2267913,2021.11.13,랩/힙합
2022.05.31,27,new,Celeb,싸이 (Psy),42479030,2364949,2022.04.29,댄스/팝
2022.05.31,28,+62,Seoul,볼빨간사춘기,42267661,2360258,2022.04.20,인디
2022.05.31,29,-10,드라마,아이유 (IU),41101215,2298492,2021.12.29,포크/어쿠스틱
2022.05.31,30,-5,Next Level,aespa,40790659,2165746,2021.05.17,댄스/팝
2022.05.31,31,-18,RUN2U,STAYC(스테이씨),40192633,2325472,2022.02.21,댄스/팝
2022.05.31,32,-,너를 생각해,주시크 (Joosiq),39657223,2240889,2021.09.22,인디
2022.05.31,33,-13,언제나 사랑해,케이시 (Kassy),38669838,2318393,2022.02.07,발라드
2022.05.31,34,-3,Weekend,태연 (TAEYEON),38508026,2198770,2021.07.06,댄스/팝
2022.05.31,35,-12,strawberry moon,아이유 (IU),37504934,2254559,2021.10.19,댄스/팝
2022.05.31,36,-10,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),37304448,2272216,2021.11.20,랩/힙합
2022.05.31,37,new,무지개,임영웅,35448692,2368353,2022.05.02,발라드
2022.05.31,38,+17,너의 모든 순간,성시경,35317863,635033,2014.02.12,발라드
2022.05.31,39,+78,With you,"지민, 하성운",35283523,2362529,2022.04.24,발라드
2022.05.31,40,-1,Dynamite,방탄소년단,34300203,2016166,2020.08.21,댄스/팝
2022.05.31,41,-8,라일락,아이유 (IU),34262487,2130285,2021.03.25,댄스/팝
2022.05.31,42,new,Upside Down,강다니엘,34041680,2377639,2022.05.24,알앤비/소울
2022.05.31,43,+8,이제 나만 믿어요,임영웅,33242298,1948682,2020.04.03,성인가요
2022.05.31,44,+16,아무래도 난,주시크 (Joosiq),32848861,2347887,2022.03.30,인디
2022.05.31,45,new,아버지,임영웅,32767475,2368351,2022.05.02,발라드
2022.05.31,46,-17,Step Back,GOT the beat,32639929,2302482,2022.01.03,댄스/팝
2022.05.31,47,-5,Butter,방탄소년단,32537399,2165376,2021.05.21,댄스/팝
2022.05.31,48,-13,호랑수월가,탑현,32468255,2306092,2022.01.15,발라드
2022.05.31,49,-15,눈이 오잖아 (Feat.헤이즈),이무진,32399559,2280274,2021.12.03,발라드
2022.05.31,50,new,감동이야 (Feat. 성시경),싸이 (Psy),32097820,2364948,2022.04.29,댄스/팝
2022.05.31,51,-11,바라만 본다,MSG워너비(M.O.M),31982436,2188339,2021.06.26,발라드
2022.05.31,52,-16,"스물다섯, 스물하나",자우림,31843363,572643,2013.10.14,락/메탈
2022.05.31,53,+4,내 손을 잡아,아이유 (IU),31832946,106556,2011.05.25,OST
2022.05.31,54,-33,존재만으로,원슈타인 (Wonstein),31471748,2326963,2022.02.26,댄스/팝
2022.05.31,55,-17,Counting Stars (Feat. Beenzino),BE`O (비오),31225393,2287362,2021.12.12,랩/힙합
2022.05.31,56,-11,Celebrity,아이유 (IU),30888481,2100132,2021.03.25,댄스/팝
2022.05.31,57,-5,Bad Habits,Ed Sheeran,30571283,2188906,2021.10.29,팝
2022.05.31,58,-8,내가 아니라도,주호,30447025,2343328,2022.03.25,발라드
2022.05.31,59,-5,Permission to Dance,방탄소년단,30285892,2198608,2021.07.09,댄스/팝
2022.05.31,60,-12,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",30274915,1988115,2020.06.20,랩/힙합
2022.05.31,61,-31,abcdefu,GAYLE,29863962,2222507,2021.08.13,팝
2022.05.31,62,new,손이 참 곱던 그대,임영웅,29863932,2368352,2022.05.02,발라드
2022.05.31,63,new,사랑해 진짜,임영웅,29862637,2368347,2022.05.02,발라드
2022.05.31,64,-18,Savage,aespa,29736724,2247253,2021.10.05,댄스/팝
2022.05.31,65,-6,고백,멜로망스(Melomance),29316657,2229166,2021.08.29,발라드
2022.05.31,66,new,A bientot,임영웅,29049415,2368350,2022.05.02,발라드
2022.05.31,67,-5,밤하늘의 별을(2020),경서,28978762,2061610,2020.11.14,인디
2022.05.31,68,-19,Blueming,아이유 (IU),28813778,1874197,2019.11.18,댄스/팝
2022.05.31,69,-11,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,28520210,1488659,2018.03.20,발라드
2022.05.31,70,-43,Real Love,오마이걸 (OH MY GIRL),27798723,2347699,2022.03.28,댄스/팝
2022.05.31,71,-5,문득,BE`O (비오),27730521,2154356,2021.05.02,랩/힙합
2022.05.31,72,new,연애편지,임영웅,27672690,2368346,2022.05.02,발라드
2022.05.31,73,new,인생찬가,임영웅,27281800,2368343,2022.05.02,발라드
2022.05.31,74,-10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),27146223,1846563,2019.09.25,포크/어쿠스틱
2022.05.31,75,-31,Dreams Come True,aespa,26805470,2292703,2021.12.20,댄스/팝
2022.05.31,76,new,초대,멜로망스(Melomance),26541831,2368433,2022.05.03,인디
2022.05.31,77,-14,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),26500658,2239874,2021.09.19,인디
2022.05.31,78,-9,헤픈 우연,헤이즈 (Heize),26285787,2165550,2021.05.20,알앤비/소울
2022.05.31,79,-7,Dun Dun Dance,오마이걸 (OH MY GIRL),26269153,2161253,2021.05.10,댄스/팝
2022.05.31,80,-1,롤린 (Rollin`),브레이브걸스 (Brave Girls),25895601,1205117,2017.03.07,댄스/팝
2022.05.31,81,new,사랑역,임영웅,25814934,2368349,2022.05.02,발라드
2022.05.31,82,-21,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick),25312690,2272214,2021.11.20,랩/힙합
2022.05.31,83,-6,Off My Face,Justin Bieber,25291059,2126959,2021.03.19,팝
2022.05.31,84,new,사랑해요 그대를,임영웅,25186694,2368344,2022.05.02,발라드
2022.05.31,85,new,보금자리,임영웅,25039175,2368348,2022.05.02,발라드
2022.05.31,86,-13,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,24985817,2127250,2021.03.20,랩/힙합
2022.05.31,87,-17,My Universe,"Coldplay, 방탄소년단",24878839,2240545,2021.09.24,팝
2022.05.31,88,-51,어제처럼,폴킴,24673701,2328683,2022.02.27,발라드
2022.05.31,89,-48,사랑인걸,한동근,24664266,2336679,2022.03.13,발라드
2022.05.31,90,-22,낙하 (with 아이유),AKMU (악뮤),24328606,2211516,2021.07.26,댄스/팝
2022.05.31,91,-24,봄날,방탄소년단,24057374,1192402,2017.02.13,랩/힙합
2022.05.31,92,-1,나는 트로트가 싫어요,임창정,23679462,2263357,2021.11.01,발라드
2022.05.31,93,-46,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),23462002,2320681,2022.02.13,발라드
2022.05.31,94,-23,서랍,10cm,23214996,2284305,2021.12.07,포크/어쿠스틱
2022.05.31,95,-9,너의 번호를 누르고,김나영,22492232,2355899,2022.04.12,발라드
2022.05.31,96,-53,Starlight,태일 (TAEIL),22227601,2320698,2022.02.13,댄스/팝
2022.05.31,97,new,HOT,세븐틴,21875911,2377852,2022.05.27,댄스/팝
2022.05.31,98,HOT,봄 to 러브,10cm,19885568,2360574,2022.04.23,댄스/팝
2022.05.31,99,new,팡파레,다비치,19235794,2374559,2022.05.16,발라드
2022.05.31,100,-78,버퍼링 (Glitch Mode),NCT DREAM,18998639,2347659,2022.03.28,댄스/팝
2022.05.31,101,-16,Christmas Tree,V,18600225,2293192,2021.12.24,발라드
2022.05.31,102,new,Candy Sugar Pop,아스트로(ASTRO),18125530,2374554,2022.05.16,댄스/팝
2022.05.31,103,+3,Darl+ing,세븐틴,16560468,2356594,2022.05.27,댄스/팝
2022.05.31,104,new,초록을거머쥔우리는,잔나비,16187009,2371930,2022.05.10,인디
2022.05.31,105,new,미친 것처럼,V.O.S,15683756,2373522,2022.05.15,발라드
2022.05.31,106,+13,Every Second,Mina Okabe,15609416,2171816,2021.05.21,팝
2022.05.31,107,-24,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,15170545,1827710,2019.08.23,인디
2022.05.31,108,+55,마지막 너의 인사,헤이즈 (Heize),15142703,2356196,2022.04.16,발라드
2022.05.31,109,-21,Stronger (What Doesn`t Kill You),Kelly Clarkson,15097529,220622,2012.02.06,락
2022.05.31,110,new,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),15087579,2375105,2022.05.19,발라드
2022.05.31,111,-4,Loving You Girl (Feat. Hkeem),Peder Elias,15049969,2161572,2021.05.14,팝
2022.05.31,112,-47,내 생에 아름다운,이예준,15042351,2332254,2022.03.06,발라드
2022.05.31,113,+93,Love story,볼빨간사춘기,14886675,2360259,2022.04.20,인디
2022.05.31,114,-9,Light Switch,Charlie Puth,14867355,2309589,2022.01.20,팝
2022.05.31,115,-3,2002,Anne-Marie,14738085,1512809,2018.04.27,알앤비/소울
2022.05.31,116,new,Drive,미연 ((여자)아이들),14719353,2364300,2022.04.27,댄스/팝
2022.05.31,117,-42,겨울잠,아이유 (IU),14621399,2298490,2021.12.29,포크/어쿠스틱
2022.05.31,118,new,Good Boy Gone Bad,투모로우바이투게더,14600830,2371879,2022.05.09,댄스/팝
2022.05.31,119,new,밤이 깊었네 (Feat. 헤이즈),싸이 (Psy),14586392,2364947,2022.04.29,댄스/팝
2022.05.31,120,new,이제는 (Feat. 화사),싸이 (Psy),14530823,2364943,2022.04.29,댄스/팝
2022.05.31,121,-68,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",14397482,668831,2014.04.08,댄스/팝
2022.05.31,122,new,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,14372253,745045,2014.08.28,인디
2022.05.31,123,+22,As It Was,Harry Styles,14122590,2348425,2022.03.31,팝
2022.05.31,124,new,Beatbox,NCT DREAM,14082592,2380992,2022.05.30,댄스/팝
2022.05.31,125,-33,O.O,NMIXX,14082150,2325709,2022.02.22,댄스/팝
2022.05.31,126,-50,Can`t Control Myself,태연 (TAEYEON),13887114,2309184,2022.01.17,발라드
2022.05.31,127,-28,취기를 빌려 (취향저격 그녀 X 산들),산들,13720635,2003247,2020.07.20,발라드
2022.05.31,128,-19,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,13276387,2126951,2021.03.19,팝
2022.05.31,129,-29,추억은 만남보다 이별에 남아,정동하,12705411,2103012,2021.01.31,발라드
2022.05.31,130,+29,주저하는 연인들을 위해,잔나비,12340249,1740697,2019.03.13,인디
2022.05.31,131,-27,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),12320677,1783153,2019.06.09,인디
2022.05.31,132,-43,우리가 헤어져야 했던 이유,비비(BIBI),12305928,2289311,2021.12.13,발라드
2022.05.31,133,new,YOU AND I,WSG워너비 조별경연 (대청봉),12302134,2372158,2022.05.28,댄스/팝
2022.05.31,134,-26,밝게 빛나는 별이 되어 비춰줄게,송이한,12151884,2084769,2020.12.29,인디
2022.05.31,135,new,Whisky on the Rock,김연지,12089778,2354499,2022.04.10,댄스/팝
2022.05.31,136,-3,너의 번호를 누르고 (Prod. 영화처럼),#안녕,12072210,1878367,2019.11.30,인디
2022.05.31,137,new,내 곁에,태연 (TAEYEON),11943956,2370786,2022.05.08,발라드
2022.05.31,138,-2,Lovesick Girls,BLACKPINK,11862709,2037330,2020.10.02,댄스/팝
2022.05.31,139,-13,밤편지,아이유 (IU),11754670,1214938,2017.03.24,발라드
2022.05.31,140,-22,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,11708516,1754120,2019.04.12,랩/힙합
2022.05.31,141,+2,선물,멜로망스(Melomance),11444495,1289342,2017.07.10,인디
2022.05.31,142,-7,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),11367769,1966107,2020.05.06,댄스/팝
2022.05.31,143,new,Happy Song,멜로망스(MeloMance),11253770,2372150,2022.05.14,댄스/팝
2022.05.31,144,-34,Because Of You,Ne-Yo,11189041,17752,2007.01.01,알앤비/소울
2022.05.31,145,+10,Love Yourself,Justin Bieber,10917726,925372,2015.11.13,팝
2022.05.31,146,+74,여행,볼빨간사춘기,10877198,1542928,2018.05.24,인디
2022.05.31,147,-52,언덕나무,이승윤,10611149,2302398,2022.01.04,발라드
2022.05.31,148,+41,그대가 있기에,노을,10600882,2360616,2022.04.21,발라드
2022.05.31,149,-33,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE`O (비오),10592695,2280146,2021.12.04,랩/힙합
2022.05.31,150,-25,그날에 나는 맘이 편했을까,이예준,10477248,2072458,2020.12.03,발라드
2022.05.31,151,-5,Memories,Maroon 5,10461714,1843413,2019.09.20,팝
2022.05.31,152,-24,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",10166988,2037727,2020.10.02,팝
2022.05.31,153,-9,Love poem,아이유 (IU),10146882,1862187,2019.11.18,댄스/팝
2022.05.31,154,HOT,어땠을까 (Feat. 박정현),싸이 (Psy),10141284,297195,2012.07.15,댄스/팝
2022.05.31,155,-24,Tiny Riot,Sam Ryder,10141058,2134870,2021.09.24,팝
2022.05.31,156,-6,12:45 (Stripped),Etham,10075201,1727728,2018.10.26,팝
2022.05.31,157,+17,Bad,Christopher,10060697,1507545,2019.11.08,알앤비/소울
2022.05.31,158,-17,ASAP,STAYC(스테이씨),10045668,2138937,2021.04.08,일렉트로닉
2022.05.31,159,-103,벚꽃 엔딩,버스커 버스커 (Busker Busker),10030499,241360,2012.03.29,포크/어쿠스틱
2022.05.31,160,-78,"아주, 천천히",비비(BIBI),10014767,2324397,2022.02.20,발라드
2022.05.31,161,new,기억해 줘요,다비치,9992146,2368721,2022.05.07,발라드
2022.05.31,162,-30,비가 오는 날엔 (2021),헤이즈 (Heize),9944226,2216059,2021.08.04,발라드
2022.05.31,163,-60,흰눈,먼데이 키즈 (Monday Kiz),9939697,2287373,2021.12.12,발라드
2022.05.31,164,-10,늦은 밤 너의 집 앞 골목길에서,노을,9935332,1867146,2019.11.07,발라드
2022.05.31,165,-25,DM,프로미스나인 (fromis_9),9885820,2309189,2022.01.17,댄스/팝
2022.05.31,166,new,안녕이란 말,정승환,9885024,2372118,2022.05.13,발라드
2022.05.31,167,HOT,나의 사춘기에게,볼빨간사춘기,9828719,1336461,2017.09.28,인디
2022.05.31,168,-39,Queendom,레드벨벳(Red Velvet),9818207,2222272,2021.08.16,댄스/팝
2022.05.31,169,-95,다시 사랑한다면 (김필 Ver.),임영웅,9732236,2169991,2021.05.25,성인가요
2022.05.31,170,-9,Paris In The Rain,Lauv,9512211,1671362,2018.05.31,팝
2022.05.31,171,-91,DAYDREAM,하이라이트(Highlight),9390232,2342418,2022.03.21,댄스/팝
2022.05.31,172,-42,Wake Up (Prod. 코드 쿤스트),"개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일",9307445,2263109,2021.11.06,랩/힙합
2022.05.31,173,new,GANJI (Feat. Jessi),싸이 (Psy),9305338,2364946,2022.04.29,댄스/팝
2022.05.31,174,-27,잠이 오질 않네요,장범준,9284093,2048672,2020.10.24,발라드
2022.05.31,175,-9,All 4 Nothing (I`m So In Love),Lauv,9270033,2352569,2022.04.08,팝
2022.05.31,176,-98,벚꽃이 피면 우리 그만 헤어져,벤 (Ben),9221902,2342500,2022.03.22,발라드
2022.05.31,177,-8,METEOR,창모 (CHANGMO),9205728,1878462,2019.11.29,랩/힙합
2022.05.31,178,-44,"나만, 봄",볼빨간사춘기,9048037,1751134,2019.04.02,인디
2022.05.31,179,-7,사계 (Four Seasons),태연 (TAEYEON),9019258,1746628,2019.03.24,댄스/팝
2022.05.31,180,-43,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student",9015954,2263108,2021.11.06,랩/힙합
2022.05.31,181,+15,Dance Monkey,Tones And I,8943466,1819891,2019.08.29,알앤비/소울
2022.05.31,182,-,어푸 (Ah puh),아이유 (IU),8924565,2130278,2021.03.25,댄스/팝
2022.05.31,183,+1,Shape of You,Ed Sheeran,8904402,1166326,2017.03.03,락
2022.05.31,184,-57,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,8869119,2275883,2021.11.27,랩/힙합
2022.05.31,185,+92,LOVE,몬스타엑스,8845485,2364217,2022.04.26,댄스/팝
2022.05.31,186,-16,Timeless,SG 워너비,8812386,14074,2004.01.20,댄스/팝
2022.05.31,187,-16,오래된 노래,스탠딩 에그(Standing Egg),8778782,326107,2012.09.04,발라드
2022.05.31,188,-28,DUMB DUMB,전소미,8718027,2215117,2021.08.02,댄스/팝
2022.05.31,189,-51,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스(Melomance),8711455,2275919,2021.11.26,발라드
2022.05.31,190,-23,멜로디,ASH ISLAND,8618798,2117091,2021.02.25,랩/힙합
2022.05.31,191,-71,부럽지가 않어,장기하,8611134,2325701,2022.02.22,댄스/팝
2022.05.31,192,-11,너를 만나,폴킴,8554719,1685395,2018.10.29,발라드
2022.05.31,193,-6,Dolphin,오마이걸 (OH MY GIRL),8542848,1962261,2020.04.27,댄스/팝
2022.05.31,194,-70,사랑인가 봐 (Acoustic Ver.),김세정,8478520,2352091,2022.04.05,OST
2022.05.31,195,-10,아로하,조정석,8426135,1944753,2020.03.27,인디
2022.05.31,196,+13,One Call Away,Charlie Puth,8424662,898077,2016.11.11,팝
2022.05.31,197,-21,parachute,John K,8412518,2062651,2020.11.13,알앤비/소울
2022.05.31,198,new,자가격리 (Feat. Paloalto),"릴러말즈 (Leellamarz), TOIL",8381741,2362525,2022.04.24,랩/힙합
2022.05.31,199,-16,아이와 나의 바다,아이유 (IU),8345502,2130279,2021.03.25,댄스/팝
2022.05.31,200,+25,어디에도,엠씨더맥스 (M.C The Max),8292071,965615,2016.01.28,댄스/팝
2022.06.30,1,+1,LOVE DIVE,IVE (아이브),102788253,2352090,2022.04.05,댄스/팝
2022.06.30,2,+1,TOMBOY,(여자)아이들,97953837,2338101,2022.03.14,댄스/팝
2022.06.30,3,-2,That That (prod. & feat. SUGA of BTS),싸이 (Psy),97400628,2364951,2022.04.29,댄스
2022.06.30,4,+2,사랑인가 봐,멜로망스(Melomance),84699012,2322874,2022.02.18,댄스/팝
2022.06.30,5,-,다시 만날 수 있을까,임영웅,79794556,2368354,2022.05.02,발라드
2022.06.30,6,+2,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),76879113,2360242,2022.04.20,인디
2022.06.30,7,-3,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),74275116,2352088,2022.04.05,댄스/팝
2022.06.30,8,+4,나의 X에게,경서,71962200,2362532,2022.04.24,인디
2022.06.30,9,+6,우리들의 블루스,임영웅,71441650,2358766,2022.05.02,발라드
2022.06.30,10,+10,FEARLESS,LE SSERAFIM (르세라핌),64865749,2368339,2022.05.02,댄스/팝
2022.06.30,11,-2,LOVE me,BE`O (비오),59947382,2355956,2022.04.12,랩/힙합
2022.06.30,12,-5,Feel My Rhythm,레드벨벳(Red Velvet),57912611,2342439,2022.03.21,댄스/팝
2022.06.30,13,new,Yet To Come,방탄소년단,57622723,2384890,2022.06.10,댄스/팝
2022.06.30,14,-3,취중고백,김민석,57606653,2291415,2021.12.19,발라드
2022.06.30,15,-2,사랑은 늘 도망가,임영웅,52520466,2250335,2021.10.11,발라드
2022.06.30,16,+1,신호등,이무진,49196928,2160835,2021.05.14,댄스/팝
2022.06.30,17,HOT,Beatbox,NCT DREAM,47737875,2380992,2022.05.30,댄스/팝
2022.06.30,18,-8,GANADARA (Feat. 아이유),박재범,47636117,2334028,2022.03.11,알앤비/소울
2022.06.30,19,+18,무지개,임영웅,46993576,2368353,2022.05.02,발라드
2022.06.30,20,-1,ELEVEN,IVE (아이브),46892168,2280458,2021.12.01,댄스/팝
2022.06.30,21,-,다정히 내 이름을 부르면,"경서예지, 전건호",44071987,2165559,2021.05.19,발라드
2022.06.30,22,-6,INVU,태연 (TAEYEON),43732644,2321943,2022.02.14,댄스/팝
2022.06.30,23,-1,Stay,"The Kid LAROI, Justin Bieber",41784522,2198878,2021.07.09,팝
2022.06.30,24,-6,듣고 싶을까,MSG워너비(M.O.M),41527099,2326957,2022.02.26,발라드
2022.06.30,25,+72,HOT,세븐틴,41409476,2377852,2022.05.27,댄스/팝
2022.06.30,26,-3,MY BAG,(여자)아이들,41351932,2338094,2022.03.14,댄스/팝
2022.06.30,27,-13,ZOOM,제시(Jessi),41311067,2356114,2022.04.13,랩/힙합
2022.06.30,28,+82,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),40922028,2375105,2022.05.19,발라드
2022.06.30,29,-4,That`s Hilarious,Charlie Puth,40890888,2352479,2022.04.08,팝
2022.06.30,30,+28,내가 아니라도,주호,39967191,2343328,2022.03.25,발라드
2022.06.30,31,-1,Next Level,aespa,36538046,2165746,2021.05.17,댄스/팝
2022.06.30,32,+12,아무래도 난,주시크 (Joosiq),36536504,2347887,2022.03.30,인디
2022.06.30,33,-9,SMILEY (Feat. BIBI),YENA(최예나),36127177,2309210,2022.01.17,댄스/팝
2022.06.30,34,-,Weekend,태연 (TAEYEON),35338366,2198770,2021.07.06,댄스/팝
2022.06.30,35,+5,Dynamite,방탄소년단,35197006,2016166,2020.08.21,댄스/팝
2022.06.30,36,-7,드라마,아이유 (IU),34861963,2298492,2021.12.29,포크/어쿠스틱
2022.06.30,37,+1,너의 모든 순간,성시경,34652263,635033,2014.02.12,발라드
2022.06.30,38,+61,팡파레,다비치,34533655,2374559,2022.05.16,발라드
2022.06.30,39,-13,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,34419083,2267913,2021.11.13,랩/힙합
2022.06.30,40,-8,너를 생각해,주시크 (Joosiq),34297608,2240889,2021.09.22,인디
2022.06.30,41,+6,Butter,방탄소년단,32775053,2165376,2021.05.21,댄스/팝
2022.06.30,42,-7,strawberry moon,아이유 (IU),30918309,2254559,2021.10.19,댄스/팝
2022.06.30,43,-7,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),30538095,2272216,2021.11.20,랩/힙합
2022.06.30,44,-11,언제나 사랑해,케이시 (Kassy),30480928,2318393,2022.02.07,발라드
2022.06.30,45,+14,Permission to Dance,방탄소년단,30360469,2198608,2021.07.09,댄스/팝
2022.06.30,46,+7,내 손을 잡아,아이유 (IU),29710756,106556,2011.05.25,OST
2022.06.30,47,-16,RUN2U,STAYC(스테이씨),29095158,2325472,2022.02.21,댄스/팝
2022.06.30,48,-7,라일락,아이유 (IU),28641854,2130285,2021.03.25,댄스/팝
2022.06.30,49,+2,바라만 본다,MSG워너비(M.O.M),28327988,2188339,2021.06.26,발라드
2022.06.30,50,+19,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,28109820,1488659,2018.03.20,발라드
2022.06.30,51,+1,"스물다섯, 스물하나",자우림,28041594,572643,2013.10.14,락/메탈
2022.06.30,52,-9,이제 나만 믿어요,임영웅,28011117,1948682,2020.04.03,성인가요
2022.06.30,53,+3,Celebrity,아이유 (IU),27772793,2100132,2021.03.25,댄스/팝
2022.06.30,54,-5,눈이 오잖아 (Feat.헤이즈),이무진,27540953,2280274,2021.12.03,발라드
2022.06.30,55,+10,고백,멜로망스(Melomance),27230398,2229166,2021.08.29,발라드
2022.06.30,56,-28,Seoul,볼빨간사춘기,27203965,2360258,2022.04.20,인디
2022.06.30,57,-9,호랑수월가,탑현,26981139,2306092,2022.01.15,발라드
2022.06.30,58,+9,밤하늘의 별을(2020),경서,26958632,2061610,2020.11.14,인디
2022.06.30,59,+1,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",26852053,1988115,2020.06.20,랩/힙합
2022.06.30,60,-3,Bad Habits,Ed Sheeran,26777167,2188906,2021.10.29,팝
2022.06.30,61,+7,Blueming,아이유 (IU),26016780,1874197,2019.11.18,댄스/팝
2022.06.30,62,-35,Celeb,싸이 (Psy),25989096,2364949,2022.04.29,댄스/팝
2022.06.30,63,+11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),25773526,1846563,2019.09.25,포크/어쿠스틱
2022.06.30,64,-,Savage,aespa,25716563,2247253,2021.10.05,댄스/팝
