,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-11-30 23:59:59,1,strawberry moon,아이유 (IU) ,"101,354,866",6,댄스/팝 ,2021.10.19
1,2021-11-30 23:59:59,2,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student ","91,031,509",new,랩/힙합 ,2021.11.06
2,2021-11-30 23:59:59,3,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo ,"89,529,719",new,랩/힙합 ,2021.11.13
3,2021-11-30 23:59:59,4,Savage,aespa ,"82,089,428",1,댄스/팝 ,2021.10.05
4,2021-11-30 23:59:59,5,Wake Up (Prod. 코드 쿤스트),"개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일 ","77,767,292",new,랩/힙합 ,2021.11.06
5,2021-11-30 23:59:59,6,Stay,"The Kid LAROI, Justin Bieber ","72,994,668",4,팝 ,2021.07.09
6,2021-11-30 23:59:59,7,신호등,이무진 ,"72,393,250",3,댄스/팝 ,2021.05.14
7,2021-11-30 23:59:59,8,다정히 내 이름을 부르면,"경서예지, 전건호 ","65,891,922",3,발라드 ,2021.05.19
8,2021-11-30 23:59:59,9,사랑은 늘 도망가,임영웅 ,"65,152,457",8,"발라드,
OST ",2021.10.11
9,2021-11-30 23:59:59,10,Next Level,aespa ,"61,900,573",4,댄스/팝 ,2021.05.17
10,2021-11-30 23:59:59,11,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오) ,"61,711,562",new,랩/힙합 ,2021.11.20
11,2021-11-30 23:59:59,12,너를 생각해,주시크 (Joosiq) ,"56,469,317",12,"인디,
알앤비/소울 ",2021.09.22
12,2021-11-30 23:59:59,13,My Universe,"Coldplay, 방탄소년단 ","56,372,856",8,팝 ,2021.09.24
13,2021-11-30 23:59:59,14,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코) ","55,432,084",5,2020.06.20,싱글
14,2021-11-30 23:59:59,15,낙하 (with 아이유),AKMU (악뮤) ,"54,243,590",7,"댄스/팝,
알앤비/소울 ",2021.07.26
15,2021-11-30 23:59:59,16,바라만 본다,MSG워너비(M.O.M) ,"50,399,005",6,발라드 ,2021.06.26
16,2021-11-30 23:59:59,17,Permission to Dance,방탄소년단 ,"47,738,844",5,댄스/팝 ,2021.07.09
17,2021-11-30 23:59:59,18,TROUBLE (Prod. Slom),"Don Mills , Northfacegawd , sokodomo , Khakii (카키) , A-Chess (에이체스) ","47,136,318",new,랩/힙합 ,2021.11.06
18,2021-11-30 23:59:59,19,Weekend,태연 (TAEYEON) ,"46,474,475",6,댄스/팝 ,2021.07.06
19,2021-11-30 23:59:59,20,Butter,방탄소년단 ,"46,467,291",6,댄스/팝 ,2021.05.21
20,2021-11-30 23:59:59,21,너와 나의 Memories,"염따 (YumDDa), TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상 (HWANG JI SANG), 송민영 ","46,241,196",new,랩/힙합 ,2021.11.06
21,2021-11-30 23:59:59,22,Bad Habits,Ed Sheeran ,"44,950,197",7,팝 ,2021.10.29
22,2021-11-30 23:59:59,23,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick) ,"44,277,717",new,랩/힙합 ,2021.11.20
23,2021-11-30 23:59:59,24,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber ,"42,413,906",8,팝 ,2021.03.19
24,2021-11-30 23:59:59,25,고백,멜로망스(Melomance) ,"42,371,438",6,발라드 ,2021.08.29
25,2021-11-30 23:59:59,26,헤픈 우연,헤이즈 (Heize) ,"41,960,674",9,알앤비/소울 ,2021.05.20
26,2021-11-30 23:59:59,27,Dynamite,방탄소년단 ,"39,977,276",4,댄스/팝 ,2020.08.21
27,2021-11-30 23:59:59,28,라일락,아이유 (IU) ,"38,540,008",3,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
28,2021-11-30 23:59:59,29,Celebrity,아이유 (IU) ,"38,195,256",2,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
29,2021-11-30 23:59:59,30,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will) ,"38,183,026",12,발라드 ,2021.08.31
30,2021-11-30 23:59:59,31,DUMB DUMB,전소미 ,"35,694,762",9,댄스/팝 ,2021.08.02
31,2021-11-30 23:59:59,32,좋아좋아,조정석 ,"34,992,553",12,"댄스/팝,
OST ",2021.07.16
32,2021-11-30 23:59:59,33,문득,BE`O (비오) ,"34,233,017",HOT,랩/힙합 ,2021.05.02
33,2021-11-30 23:59:59,34,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub) ,"34,097,442",4,"인디,
알앤비/소울 ",2021.09.19
34,2021-11-30 23:59:59,35,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"33,713,935",2,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
35,2021-11-30 23:59:59,36,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy) ,"33,704,006",HOT,발라드 ,2021.10.28
36,2021-11-30 23:59:59,37,Queendom,레드벨벳(Red Velvet) ,"33,380,029",16,댄스/팝 ,2021.08.16
37,2021-11-30 23:59:59,38,밤하늘의 별을(2020),경서 ,"33,255,725",6,"인디,
발라드 ",2020.11.14
38,2021-11-30 23:59:59,39,롤린 (Rollin`),브레이브걸스 (Brave Girls) ,"32,660,869",9,댄스/팝 ,2017.03.07
39,2021-11-30 23:59:59,40,비가 오는 날엔 (2021),헤이즈 (Heize) ,"32,479,532",11,"발라드,
OST ",2021.08.04
40,2021-11-30 23:59:59,41,Dun Dun Dance,오마이걸 (OH MY GIRL) ,"31,594,388",10,댄스/팝 ,2021.05.10
41,2021-11-30 23:59:59,42,별거 없던 그 하루로,임창정 ,"31,430,023",new,발라드 ,2021.11.01
42,2021-11-30 23:59:59,43,너는 내 세상이었어,볼빨간사춘기 ,"31,371,759",HOT,"인디,
발라드,
락/메탈 ",2021.10.26
43,2021-11-30 23:59:59,44,내 손을 잡아,아이유 (IU) ,"30,800,911",4,OST ,2011.05.25
44,2021-11-30 23:59:59,45,비와 당신,이무진 ,"30,671,031",17,"락/메탈,
OST ",2021.06.18
45,2021-11-30 23:59:59,46,Rock with you,세븐틴 ,"30,648,602",12,댄스/팝 ,2021.10.22
46,2021-11-30 23:59:59,47,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"30,468,948",3,"발라드,
OST ",2018.03.20
47,2021-11-30 23:59:59,48,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들 ,"30,116,499",9,랩/힙합 ,2021.03.20
48,2021-11-30 23:59:59,49,이제 나만 믿어요,임영웅 ,"29,857,452",2,성인가요 ,2020.04.03
49,2021-11-30 23:59:59,50,가을 타나 봐,이무진 ,"29,238,220",24,포크/어쿠스틱 ,2021.09.14
50,2021-11-30 23:59:59,51,Hey Mama (Feat. Nicki Minaj & Afrojack),David Guetta ,"28,945,295",15,일렉트로닉 ,2014.11.21
51,2021-11-30 23:59:59,52,XOXO,전소미 ,"28,906,856",new,댄스/팝 ,2021.10.29
52,2021-11-30 23:59:59,53,Blueming,아이유 (IU) ,"28,683,231",1,"댄스/팝,
발라드 ",2019.11.18
53,2021-11-30 23:59:59,54,밝게 빛나는 별이 되어 비춰줄게,송이한 ,"28,462,819",9,"인디,
알앤비/소울 ",2020.12.29
54,2021-11-30 23:59:59,55,ASAP,STAYC(스테이씨) ,"28,337,644",20,"일렉트로닉,
댄스/팝,
알앤비/소울 ",2021.04.08
55,2021-11-30 23:59:59,56,추억은 만남보다 이별에 남아,정동하 ,"28,158,809",3,발라드 ,2021.01.31
56,2021-11-30 23:59:59,57,Off My Face,Justin Bieber ,"28,082,957",15,팝 ,2021.03.19
57,2021-11-30 23:59:59,58,가을 우체국 앞에서,김대명 ,"27,744,053",15,"발라드,
OST ",2021.06.25
58,2021-11-30 23:59:59,59,가까이 있어서 몰랐어,2am ,"27,679,006",new,발라드 ,2021.11.01
59,2021-11-30 23:59:59,60,하루만 더,빅마마 (BigMama) ,"27,554,123",19,발라드 ,2021.06.24
60,2021-11-30 23:59:59,61,나비효과,볼빨간사춘기 ,"27,044,623",72,"인디,
발라드,
락/메탈 ",2021.10.26
61,2021-11-30 23:59:59,62,취기를 빌려 (취향저격 그녀 X 산들),산들 ,"27,019,631",8,발라드 ,2020.07.20
62,2021-11-30 23:59:59,63,색안경 (STEREOTYPE),STAYC(스테이씨) ,"26,974,681",30,"댄스/팝,
알앤비/소울 ",2021.09.06
63,2021-11-30 23:59:59,64,LOCO,ITZY (있지) ,"26,640,284",32,댄스/팝 ,2021.09.24
64,2021-11-30 23:59:59,65,Lovesick Girls,BLACKPINK ,"26,377,590",16,"댄스/팝,
랩/힙합 ",2020.10.02
65,2021-11-30 23:59:59,66,Cold Blooded,제시(Jessi) ,"26,183,116",9,랩/힙합 ,2021.10.12
66,2021-11-30 23:59:59,67,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS ","26,109,793",21,팝 ,2020.10.02
67,2021-11-30 23:59:59,68,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"26,076,837",12,댄스/팝 ,2020.05.06
68,2021-11-30 23:59:59,69,잠이 오질 않네요,장범준 ,"25,234,437",12,발라드 ,2020.10.24
69,2021-11-30 23:59:59,70,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"24,788,502",15,"랩/힙합,
알앤비/소울 ",2019.04.12
70,2021-11-30 23:59:59,71,그날에 나는 맘이 편했을까,이예준 ,"24,363,334",2,발라드 ,2020.12.03
71,2021-11-30 23:59:59,72,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"24,189,461",1,"인디,
발라드,
알앤비/소울 ",2019.06.09
72,2021-11-30 23:59:59,73,나의 첫사랑,다비치 ,"24,089,938",5,발라드 ,2021.10.18
73,2021-11-30 23:59:59,74,Timeless,SG 워너비 ,"23,431,886",16,"댄스/팝,
알앤비/소울 ",2004.01.20
74,2021-11-30 23:59:59,75,봄날,방탄소년단 ,"23,424,397",8,"댄스/팝,
랩/힙합 ",2017.02.13
75,2021-11-30 23:59:59,76,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"23,407,613",14,"인디,
OST ",2019.08.23
76,2021-11-30 23:59:59,77,멜로디,ASH ISLAND ,"23,213,103",13,랩/힙합 ,2021.02.25
77,2021-11-30 23:59:59,78,오래된 노래,스탠딩 에그(Standing Egg) ,"22,777,954",10,발라드 ,2012.09.04
78,2021-11-30 23:59:59,79,2002,Anne-Marie ,"22,731,025",13,"알앤비/소울,
일렉트로닉 ",2018.04.27
79,2021-11-30 23:59:59,80,SCIENTIST,TWICE ,"22,700,096",new,"댄스/팝,
발라드,
알앤비/소울 ",2021.11.12
80,2021-11-30 23:59:59,81,METEOR,창모 (CHANGMO) ,"22,679,820",7,랩/힙합 ,2019.11.29
81,2021-11-30 23:59:59,82,가시 (Prod. 코드 쿤스트),"조광일, 개코, 저스디스 (JUSTHIS) ","22,679,291",new,랩/힙합 ,2021.11.13
82,2021-11-30 23:59:59,83,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",쿤타 (Koonta) ,"22,619,287",new,랩/힙합 ,2021.11.20
83,2021-11-30 23:59:59,84,그리워 그리워,이예준 ,"22,095,285",HOT,"인디,
발라드 ",2021.10.26
84,2021-11-30 23:59:59,85,그대라는 사치,임영웅 ,"22,068,150",8,"댄스/팝,
발라드,
성인가요 ",2021.07.06
85,2021-11-30 23:59:59,86,아로하,조정석 ,"21,935,755",16,"인디,
OST ",2020.03.27
86,2021-11-30 23:59:59,87,Favorite (Vampire),NCT 127 ,"21,810,531",39,"댄스/팝,
알앤비/소울 ",2021.10.25
87,2021-11-30 23:59:59,88,MAVERICK,더보이즈(THE BOYZ) ,"21,356,273",new,댄스/팝 ,2021.11.01
88,2021-11-30 23:59:59,89,어푸 (Ah puh),아이유 (IU) ,"20,926,681",24,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
89,2021-11-30 23:59:59,90,어제 너는 나를 버렸어,10cm ,"20,865,433",new,"인디,
발라드 ",2021.11.11
90,2021-11-30 23:59:59,91,낮 밤 (Feat. 박재범),이영지 ,"20,749,479",new,랩/힙합 ,2021.10.29
91,2021-11-30 23:59:59,92,Life Goes On,방탄소년단 ,"20,378,027",16,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.11.20
92,2021-11-30 23:59:59,93,밤하늘의 별을(Original),임한별 ,"20,344,230",new,발라드 ,2021.11.02
93,2021-11-30 23:59:59,94,운전만해 (We Ride),브레이브걸스 (Brave Girls) ,"20,000,795",35,댄스/팝 ,2020.08.14
94,2021-11-30 23:59:59,95,다시 사랑한다면 (김필 Ver.),임영웅 ,"19,511,252",-,성인가요 ,2021.05.25
95,2021-11-30 23:59:59,96,여전히 아름다운지,세븐틴 ,"19,489,644",16,"발라드,
OST ",2021.08.13
96,2021-11-30 23:59:59,97,별빛 같은 나의 사랑아,임영웅 ,"18,836,905",5,성인가요 ,2021.03.09
97,2021-11-30 23:59:59,98,다음생이 있다면 당신을 만나서 다시 사랑할래요,임재현 ,"18,382,225",new,발라드 ,2021.11.08
98,2021-11-30 23:59:59,99,잊었니,임영웅 ,"17,980,811",2,성인가요 ,2021.06.22
99,2021-11-30 23:59:59,100,"Reset (Feat. 개코, Kid Milli) (Prod. 코드 쿤스트)","SINCE, Tabber ","17,784,639",new,랩/힙합 ,2021.11.20
100,2021-11-30 23:59:59,101,HERO,임영웅 ,"17,329,424",2,성인가요 ,2020.11.04
101,2021-11-30 23:59:59,102,안녕 (Hello),조이 (JOY) ,"16,832,434",41,댄스/팝 ,2021.05.31
102,2021-11-30 23:59:59,103,끝사랑,임영웅 ,"16,641,929",2,성인가요 ,2021.06.29
103,2021-11-30 23:59:59,104,Love poem,아이유 (IU) ,"16,240,257",2,"댄스/팝,
발라드 ",2019.11.18
104,2021-11-30 23:59:59,105,Santa Tell Me,Ariana Grande ,"15,958,230",HOT,"캐롤,
팝,
알앤비/소울 ",2014.11.24
105,2021-11-30 23:59:59,106,밤편지,아이유 (IU) ,"15,737,590",5,발라드 ,2017.03.24
106,2021-11-30 23:59:59,107,너의 번호를 누르고 (Prod. 영화처럼),#안녕 ,"15,434,709",28,"인디,
발라드 ",2019.11.30
107,2021-11-30 23:59:59,108,사실 나는 (Feat.전건호),경서예지 ,"15,356,949",27,"인디,
발라드 ",2020.04.12
108,2021-11-30 23:59:59,109,Bk Love,임영웅 ,"15,241,714",3,성인가요 ,2021.06.21
109,2021-11-30 23:59:59,110,Alcohol-Free,TWICE ,"15,045,805",50,댄스/팝 ,2021.06.11
110,2021-11-30 23:59:59,111,Tiny Riot,Sam Ryder ,"15,003,065",39,팝 ,2021.09.24
111,2021-11-30 23:59:59,112,12:45 (Stripped),Etham ,"14,742,664",26,팝 ,2018.10.26
112,2021-11-30 23:59:59,113,All I Want For Christmas Is You,Mariah Carey ,"14,682,189",new,"캐롤,
팝 ",2019.11.01
113,2021-11-30 23:59:59,114,Easy On Me,Adele ,"14,673,750",30,팝 ,2021.11.19
114,2021-11-30 23:59:59,115,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave Girls) ,"14,575,827",52,댄스/팝 ,2021.06.17
115,2021-11-30 23:59:59,116,사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),이해리 ,"14,319,667",65,"발라드,
OST ",2021.09.29
116,2021-11-30 23:59:59,117,늦은 밤 너의 집 앞 골목길에서,노을 ,"14,252,994",10,발라드 ,2019.11.07
117,2021-11-30 23:59:59,118,상상더하기,라붐 (LABOUM) ,"13,619,124",46,댄스/팝 ,2016.04.06
118,2021-11-30 23:59:59,119,Black Mamba,aespa ,"13,591,010",6,댄스/팝 ,2020.11.17
119,2021-11-30 23:59:59,120,Snowman,Sia ,"13,554,369",HOT,캐롤 ,2017.11.11
120,2021-11-30 23:59:59,121,Memories,Maroon 5 ,"13,536,695",23,팝 ,2019.09.20
121,2021-11-30 23:59:59,122,"이끼 (Feat. MINO, BOBBY) (Prod. MINO)",Mudd the student ,"13,480,286",new,랩/힙합 ,2021.11.20
122,2021-11-30 23:59:59,123,Dolphin,오마이걸 (OH MY GIRL) ,"13,420,275",40,댄스/팝 ,2020.04.27
123,2021-11-30 23:59:59,124,Yours,진 (JIN) ,"13,147,970",new,"발라드,
OST ",2021.11.07
124,2021-11-30 23:59:59,125,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재 ,"13,085,026",25,"인디,
발라드 ",2020.10.23
125,2021-11-30 23:59:59,126,역겹겠지만 (Remember me),B.I ,"12,956,316",7,"랩/힙합,
알앤비/소울 ",2021.06.01
126,2021-11-30 23:59:59,127,Brand (Feat. 래원 (Layone)),BE`O (비오) ,"12,685,487",88,랩/힙합 ,2021.05.02
127,2021-11-30 23:59:59,128,Shivers,Ed Sheeran ,"12,622,863",4,팝 ,2021.10.29
128,2021-11-30 23:59:59,129,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지 ","12,522,160",45,댄스/팝 ,2021.03.05
129,2021-11-30 23:59:59,130,고백,10cm ,"12,507,741",53,댄스/팝 ,2021.08.08
130,2021-11-30 23:59:59,131,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH) ,"12,413,870",49,랩/힙합 ,2021.06.29
131,2021-11-30 23:59:59,132,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) ","12,293,839",16,랩/힙합 ,2020.11.21
132,2021-11-30 23:59:59,133,너를 만나,폴킴 ,"12,065,886",10,발라드 ,2018.10.29
133,2021-11-30 23:59:59,134,혼자 사랑하고 미워해,백예슬 ,"11,610,055",55,발라드 ,2021.10.09
134,2021-11-30 23:59:59,135,나를 아는 사람,MSG워너비(정상동기) ,"11,576,566",50,발라드 ,2021.06.26
135,2021-11-30 23:59:59,136,너의 모습,정동하 ,"11,544,602",40,발라드 ,2021.10.04
136,2021-11-30 23:59:59,137,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE`O (비오) ,"11,534,492",new,랩/힙합 ,2021.11.27
137,2021-11-30 23:59:59,138,계단말고 엘리베이터,임영웅 ,"11,398,442",7,성인가요 ,2018.08.20
138,2021-11-30 23:59:59,139,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student ,"11,320,209",new,랩/힙합 ,2021.11.27
139,2021-11-30 23:59:59,140,아이와 나의 바다,아이유 (IU) ,"11,155,660",19,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
140,2021-11-30 23:59:59,141,전화 한 번 못하니,신예영 ,"10,926,664",53,발라드 ,2021.09.26
141,2021-11-30 23:59:59,142,Rush Hour,몬스타엑스 ,"10,914,010",new,댄스/팝 ,2021.11.19
