,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-12-31 23:59:59,1,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo ,"130,606,063",2,랩/힙합 ,2021.11.13
1,2021-12-31 23:59:59,2,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오) ,"125,153,795",9,랩/힙합 ,2021.11.20
2,2021-12-31 23:59:59,3,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick) ,"86,791,699",20,랩/힙합 ,2021.11.20
3,2021-12-31 23:59:59,4,Counting Stars (Feat. Beenzino),BE`O (비오) ,"82,535,729",new,랩/힙합 ,2021.12.12
4,2021-12-31 23:59:59,5,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student ,"81,871,460",HOT,랩/힙합 ,2021.11.27
5,2021-12-31 23:59:59,6,ELEVEN,IVE (아이브) ,"76,891,702",new,댄스/팝 ,2021.12.01
6,2021-12-31 23:59:59,7,strawberry moon,아이유 (IU) ,"69,962,622",6,댄스/팝 ,2021.10.19
7,2021-12-31 23:59:59,8,사랑은 늘 도망가,임영웅 ,"64,680,200",1,"발라드,
OST ",2021.10.11
8,2021-12-31 23:59:59,9,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student ","64,679,433",7,랩/힙합 ,2021.11.06
9,2021-12-31 23:59:59,10,신호등,이무진 ,"59,097,107",3,댄스/팝 ,2021.05.14
10,2021-12-31 23:59:59,11,눈이 오잖아 (Feat.헤이즈),이무진 ,"58,708,340",new,발라드 ,2021.12.03
11,2021-12-31 23:59:59,12,다정히 내 이름을 부르면,"경서예지, 전건호 ","58,243,771",4,발라드 ,2021.05.19
12,2021-12-31 23:59:59,13,Savage,aespa ,"57,346,556",9,댄스/팝 ,2021.10.05
13,2021-12-31 23:59:59,14,Wake Up (Prod. 코드 쿤스트),"개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일 ","57,330,177",9,랩/힙합 ,2021.11.06
14,2021-12-31 23:59:59,15,Stay,"The Kid LAROI, Justin Bieber ","56,686,336",9,팝 ,2021.07.09
15,2021-12-31 23:59:59,16,All I Want For Christmas Is You,Mariah Carey ,"55,656,982",97,"캐롤,
팝 ",2019.11.01
16,2021-12-31 23:59:59,17,Santa Tell Me,Ariana Grande ,"55,216,259",88,"캐롤,
팝,
알앤비/소울 ",2014.11.24
17,2021-12-31 23:59:59,18,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE`O (비오) ,"52,256,682",new,랩/힙합 ,2021.12.04
18,2021-12-31 23:59:59,19,Next Level,aespa ,"50,320,382",9,댄스/팝 ,2021.05.17
19,2021-12-31 23:59:59,20,매일 크리스마스 (Everyday Christmas),다비치 ,"50,250,889",new,"댄스/팝,
발라드,
알앤비/소울 ",2021.12.06
20,2021-12-31 23:59:59,21,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE`O (비오) ,"48,812,069",HOT,랩/힙합 ,2021.11.27
21,2021-12-31 23:59:59,22,너를 생각해,주시크 (Joosiq) ,"46,305,189",10,"인디,
알앤비/소울 ",2021.09.22
22,2021-12-31 23:59:59,23,낙하 (with 아이유),AKMU (악뮤) ,"44,393,235",8,"댄스/팝,
알앤비/소울 ",2021.07.26
23,2021-12-31 23:59:59,24,문득,BE`O (비오) ,"43,755,971",9,랩/힙합 ,2021.05.02
24,2021-12-31 23:59:59,25,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코) ","43,396,949",11,2020.06.20,싱글
25,2021-12-31 23:59:59,26,My Universe,"Coldplay, 방탄소년단 ","40,432,390",13,팝 ,2021.09.24
26,2021-12-31 23:59:59,27,바라만 본다,MSG워너비(M.O.M) ,"40,154,364",11,발라드 ,2021.06.26
27,2021-12-31 23:59:59,28,Butter,방탄소년단 ,"39,063,781",8,댄스/팝 ,2021.05.21
28,2021-12-31 23:59:59,29,Snowman,Sia ,"38,961,126",91,캐롤 ,2017.11.11
29,2021-12-31 23:59:59,30,Permission to Dance,방탄소년단 ,"38,289,472",13,댄스/팝 ,2021.07.09
