,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-03-31 23:59:59,1,롤린 (Rollin`),브레이브걸스 (Brave Girls) ,"162,693,992",new,댄스/팝 ,2017.03.07
1,2021-03-31 23:59:59,2,Celebrity,아이유 (IU) ,"135,867,314",1,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
2,2021-03-31 23:59:59,3,별빛 같은 나의 사랑아,임영웅 ,"110,729,728",new,성인가요 ,2021.03.09
3,2021-03-31 23:59:59,4,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지 ","85,441,576",new,댄스/팝 ,2021.03.05
4,2021-03-31 23:59:59,5,On The Ground,로제 (ROSE) ,"79,748,403",new,락/메탈 ,2021.03.12
5,2021-03-31 23:59:59,6,Dynamite,방탄소년단 ,"76,871,853",3,댄스/팝 ,2020.08.21
6,2021-03-31 23:59:59,7,밤하늘의 별을(2020),경서 ,"75,742,248",5,"인디,
발라드 ",2020.11.14
7,2021-03-31 23:59:59,8,Don`t Call Me,샤이니 (SHINee) ,"65,869,649",82,댄스/팝 ,2021.02.22
8,2021-03-31 23:59:59,9,밝게 빛나는 별이 되어 비춰줄게,송이한 ,"63,420,740",13,"인디,
알앤비/소울 ",2020.12.29
9,2021-03-31 23:59:59,10,내 손을 잡아,아이유 (IU) ,"62,993,759",4,OST ,2011.05.25
10,2021-03-31 23:59:59,11,잠이 오질 않네요,장범준 ,"62,840,316",5,발라드 ,2020.10.24
11,2021-03-31 23:59:59,12,Lovesick Girls,BLACKPINK ,"58,967,925",5,"댄스/팝,
랩/힙합 ",2020.10.02
12,2021-03-31 23:59:59,13,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) ","58,614,091",9,랩/힙합 ,2020.11.21
13,2021-03-31 23:59:59,14,취기를 빌려 (취향저격 그녀 X 산들),산들 ,"58,264,017",6,발라드 ,2020.07.20
14,2021-03-31 23:59:59,15,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10cm ,"57,183,152",10,발라드 ,2021.01.24
15,2021-03-31 23:59:59,16,라일락,아이유 (IU) ,"56,816,146",new,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
16,2021-03-31 23:59:59,17,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재 ,"53,330,143",4,"인디,
발라드 ",2020.10.23
17,2021-03-31 23:59:59,18,Blueming,아이유 (IU) ,"50,823,942",3,"댄스/팝,
발라드 ",2019.11.18
18,2021-03-31 23:59:59,19,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"50,572,784",9,댄스/팝 ,2020.05.06
19,2021-03-31 23:59:59,20,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"48,193,869",4,"인디,
OST ",2019.08.23
20,2021-03-31 23:59:59,21,Gone,로제 (ROSE) ,"47,078,193",new,락/메탈 ,2021.03.12
21,2021-03-31 23:59:59,22,힘든 건 사랑이 아니다,임창정 ,"45,406,686",11,발라드 ,2020.10.19
22,2021-03-31 23:59:59,23,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"45,241,937",2,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
23,2021-03-31 23:59:59,24,그날에 나는 맘이 편했을까,이예준 ,"44,694,878",5,발라드 ,2020.12.03
24,2021-03-31 23:59:59,25,오래된 노래,스탠딩 에그(Standing Egg) ,"44,386,277",7,발라드 ,2012.09.04
25,2021-03-31 23:59:59,26,고백 (바른연애 길잡이 X 허각),허각 ,"42,104,688",6,발라드 ,2021.02.04
26,2021-03-31 23:59:59,27,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"41,843,866",-,"발라드,
OST ",2018.03.20
27,2021-03-31 23:59:59,28,Life Goes On,방탄소년단 ,"41,648,756",9,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.11.20
28,2021-03-31 23:59:59,29,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS ","41,407,354",6,팝 ,2020.10.02
29,2021-03-31 23:59:59,30,Dolphin,오마이걸 (OH MY GIRL) ,"39,778,824",-,댄스/팝 ,2020.04.27
30,2021-03-31 23:59:59,31,I`m Not Cool,현아 (HyunA) ,"39,175,602",22,"댄스/팝,
알앤비/소울 ",2021.01.28
31,2021-03-31 23:59:59,32,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN) ,"39,156,511",11,발라드 ,2020.08.23
32,2021-03-31 23:59:59,33,사실 나는 (Feat.전건호),경서예지 ,"38,822,371",-,"인디,
발라드 ",2020.04.12
33,2021-03-31 23:59:59,34,METEOR,창모 (CHANGMO) ,"38,635,095",-,랩/힙합 ,2019.11.29
34,2021-03-31 23:59:59,35,꼬리 (TAIL),선미 ,"37,961,292",86,댄스/팝 ,2021.02.23
35,2021-03-31 23:59:59,36,2002,Anne-Marie ,"37,196,940",1,"알앤비/소울,
일렉트로닉 ",2018.04.27
36,2021-03-31 23:59:59,37,늦은 밤 너의 집 앞 골목길에서,노을 ,"36,725,876",6,발라드 ,2019.11.07
37,2021-03-31 23:59:59,38,Coin,아이유 (IU) ,"36,107,414",new,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
38,2021-03-31 23:59:59,39,How You Like That,BLACKPINK ,"36,054,251",4,댄스/팝 ,2020.06.26
39,2021-03-31 23:59:59,40,함께 했는데 이별은 나 혼자인 거야,소정 ,"36,041,307",HOT,발라드 ,2021.02.19
40,2021-03-31 23:59:59,41,혼술하고 싶은 밤,벤 (Ben) ,"35,129,626",13,발라드 ,2020.12.02
41,2021-03-31 23:59:59,42,이제 나만 믿어요,임영웅 ,"34,156,884",4,성인가요 ,2020.04.03
42,2021-03-31 23:59:59,43,어떻게 지내,오반 (OVAN) ,"34,114,954",3,"인디,
랩/힙합 ",2020.03.05
43,2021-03-31 23:59:59,44,아로하,조정석 ,"34,038,426",3,"인디,
OST ",2020.03.27
44,2021-03-31 23:59:59,45,Love poem,아이유 (IU) ,"33,899,817",6,"댄스/팝,
발라드 ",2019.11.18
45,2021-03-31 23:59:59,46,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽 ,"33,873,078",new,랩/힙합 ,2021.03.02
46,2021-03-31 23:59:59,47,When We Disco (Duet with 선미),박진영 ,"33,681,472",15,댄스/팝 ,2020.08.12
47,2021-03-31 23:59:59,48,봄날,방탄소년단 ,"33,669,020",8,"댄스/팝,
랩/힙합 ",2017.02.13
48,2021-03-31 23:59:59,49,너의 번호를 누르고 (Prod. 영화처럼),#안녕 ,"33,641,039",2,"인디,
발라드 ",2019.11.30
49,2021-03-31 23:59:59,50,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"33,478,365",7,"랩/힙합,
알앤비/소울 ",2019.04.12
50,2021-03-31 23:59:59,51,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI) ,"32,588,770",25,랩/힙합 ,2020.12.05
51,2021-03-31 23:59:59,52,Memories,Maroon 5 ,"32,384,783",8,팝 ,2019.09.20
52,2021-03-31 23:59:59,53,사랑하는 당신께,폴킴 ,"31,870,996",HOT,발라드 ,2021.02.25
53,2021-03-31 23:59:59,54,마음을 드려요,아이유 (IU) ,"31,639,071",12,"발라드,
OST ",2020.02.15
54,2021-03-31 23:59:59,55,운전만해 (We Ride),브레이브걸스 (Brave Girls) ,"31,357,650",new,댄스/팝 ,2020.08.14
55,2021-03-31 23:59:59,56,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"31,164,070",3,"인디,
발라드,
알앤비/소울 ",2019.06.09
56,2021-03-31 23:59:59,57,너를 만나,폴킴 ,"31,111,224",3,발라드 ,2018.10.29
57,2021-03-31 23:59:59,58,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL) ,"31,078,715",8,댄스/팝 ,2020.04.27
58,2021-03-31 23:59:59,59,술 한잔 해요,"경서 (경서예지), MJ (써니사이드) ","31,029,989",23,발라드 ,2021.01.31
59,2021-03-31 23:59:59,60,추억은 만남보다 이별에 남아,정동하 ,"30,644,660",1,발라드 ,2021.01.31
