,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2020-02-29 23:59:59,1,아무노래,지코 (ZICO) ,"182,679,370",1,랩/힙합 ,2020.01.13
1,2020-02-29 23:59:59,2,METEOR,창모 (CHANGMO) ,"124,302,321",1,랩/힙합 ,2019.11.29
2,2020-02-29 23:59:59,3,Psycho,레드벨벳(Red Velvet) ,"104,236,514",-,댄스/팝 ,2019.12.23
3,2020-02-29 23:59:59,4,"다시 난, 여기",백예린 ,"96,055,818",9,"발라드,
OST ",2020.01.12
4,2020-02-29 23:59:59,5,Blueming,아이유 (IU) ,"94,134,533",1,"댄스/팝,
발라드 ",2019.11.18
5,2020-02-29 23:59:59,6,마음을 드려요,아이유 (IU) ,"89,343,598",new,"발라드,
OST ",2020.02.15
6,2020-02-29 23:59:59,7,늦은 밤 너의 집 앞 골목길에서,노을 ,"84,750,508",2,발라드 ,2019.11.07
7,2020-02-29 23:59:59,8,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"79,502,325",1,"인디,
OST ",2019.08.23
8,2020-02-29 23:59:59,9,둘만의 세상으로 가,크러쉬 (CRUSH) ,"75,236,236",new,"발라드,
OST ",2020.02.09
9,2020-02-29 23:59:59,10,HIP,마마무 (Mamamoo) ,"73,850,445",3,댄스/팝 ,2019.11.14
10,2020-02-29 23:59:59,11,Black Swan,방탄소년단 ,"70,443,389",13,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
11,2020-02-29 23:59:59,12,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"70,392,313",2,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
12,2020-02-29 23:59:59,13,Love poem,아이유 (IU) ,"64,571,655",2,"댄스/팝,
발라드 ",2019.11.18
13,2020-02-29 23:59:59,14,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"64,463,459",3,"랩/힙합,
알앤비/소울 ",2019.04.12
14,2020-02-29 23:59:59,15,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic) ","64,291,414",9,랩/힙합 ,2019.12.03
15,2020-02-29 23:59:59,16,Square (2017),백예린 ,"61,346,865",8,"댄스/팝,
알앤비/소울 ",2019.12.10
16,2020-02-29 23:59:59,17,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"58,745,947",1,"인디,
발라드,
알앤비/소울 ",2019.06.09
17,2020-02-29 23:59:59,18,너를 사랑하고 있어,백현 (BAEKHYUN) ,"55,943,233",5,"발라드,
OST ",2020.01.07
18,2020-02-29 23:59:59,19,빌었어,창모 (CHANGMO) ,"55,509,701",3,랩/힙합 ,2019.11.29
19,2020-02-29 23:59:59,20,안녕,폴킴 ,"54,158,664",1,"발라드,
OST ",2019.08.12
20,2020-02-29 23:59:59,21,2002,Anne-Marie ,"54,155,137",1,"알앤비/소울,
일렉트로닉 ",2018.04.27
21,2020-02-29 23:59:59,22,ON,방탄소년단 ,"53,081,594",new,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
22,2020-02-29 23:59:59,23,사랑이란 멜로는 없어,전상근 ,"53,027,513",2,발라드 ,2019.09.08
23,2020-02-29 23:59:59,24,FIESTA,IZ*ONE (아이즈원) ,"51,941,720",new,"댄스/팝,
발라드 ",2020.02.17
24,2020-02-29 23:59:59,25,조금 취했어 (Prod. 2soo),임재현 ,"50,452,098",5,"인디,
발라드 ",2019.09.24
25,2020-02-29 23:59:59,26,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영 ,"50,387,846",14,발라드 ,2019.12.22
26,2020-02-29 23:59:59,27,어떤 날엔,김재환 ,"50,100,094",76,"발라드,
OST ",2020.01.19
27,2020-02-29 23:59:59,28,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"50,095,897",3,"발라드,
OST ",2018.03.20
28,2020-02-29 23:59:59,29,Flower,윤미래 (T) ,"49,393,589",15,"발라드,
OST ",2019.12.22
29,2020-02-29 23:59:59,30,나의 오랜 연인에게,다비치 ,"48,397,752",15,발라드 ,2019.12.03
30,2020-02-29 23:59:59,31,bad guy,Billie Eilish ,"46,631,221",1,팝 ,2019.03.29
31,2020-02-29 23:59:59,32,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (Maktub) ,"46,364,314",16,"인디,
알앤비/소울 ",2019.12.30
32,2020-02-29 23:59:59,33,다시 만날까 봐,V.O.S ,"45,314,382",3,발라드 ,2019.09.01
33,2020-02-29 23:59:59,34,시든 꽃에 물을 주듯,HYNN(박혜원) ,"43,699,475",6,발라드 ,2019.03.31
34,2020-02-29 23:59:59,35,Into the Unknown,"Idina Menzel, AURORA ","43,234,084",21,"팝,
OST ",2019.11.15
35,2020-02-29 23:59:59,36,포장마차,황인욱 ,"42,638,438",6,발라드 ,2019.06.20
36,2020-02-29 23:59:59,37,너를 만나,폴킴 ,"41,763,611",1,발라드 ,2018.10.29
37,2020-02-29 23:59:59,38,봄날,방탄소년단 ,"41,383,585",13,"댄스/팝,
랩/힙합 ",2017.02.13
38,2020-02-29 23:59:59,39,Paris In The Rain,Lauv ,"40,292,568",14,팝 ,2018.05.31
39,2020-02-29 23:59:59,40,내 마음의 사진,송가인 ,"40,269,554",HOT,"발라드,
OST ",2020.01.25
40,2020-02-29 23:59:59,41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz) ,"39,892,129",2,발라드 ,2019.05.27
41,2020-02-29 23:59:59,42,사랑에 연습이 있었다면 (Prod. 2soo),임재현 ,"39,483,546",-,발라드 ,2018.09.25
42,2020-02-29 23:59:59,43,있어줘요,장덕철 ,"39,477,610",10,발라드 ,2019.10.09
43,2020-02-29 23:59:59,44,Senorita,"Shawn Mendes, Camila Cabello ","39,244,571",1,팝 ,2019.06.21
44,2020-02-29 23:59:59,45,헤어진 우리가 지켜야 할 것들,"김나영, 양다일 ","38,925,923",19,발라드 ,2019.12.01
45,2020-02-29 23:59:59,46,새 사랑,송하예 ,"38,449,222",19,발라드 ,2019.10.12
46,2020-02-29 23:59:59,47,기억해줘요 내 모든 날과 그때를,거미 ,"38,427,199",8,"발라드,
OST ",2019.08.04
47,2020-02-29 23:59:59,48,니 소식,송하예 ,"38,247,369",13,발라드 ,2019.05.11
48,2020-02-29 23:59:59,49,BAND,"창모, Hash Swan, ASH ISLAND, 김효은 ","37,701,491",9,랩/힙합 ,2019.06.08
49,2020-02-29 23:59:59,50,Loveship,"폴킴, 청하 ","37,569,353",28,"발라드,
알앤비/소울 ",2020.01.21
50,2020-02-29 23:59:59,51,노을,다비치 ,"36,188,934",10,"발라드,
OST ",2019.12.29
51,2020-02-29 23:59:59,52,사계 (Four Seasons),태연 (TAEYEON) ,"35,599,394",-,"댄스/팝,
발라드 ",2019.03.24
52,2020-02-29 23:59:59,53,나의 모든 날,세정 ,"35,408,067",new,"발라드,
OST ",2020.02.01
53,2020-02-29 23:59:59,54,그대라는 시,태연 (TAEYEON) ,"35,380,065",4,"발라드,
OST ",2019.07.21
54,2020-02-29 23:59:59,55,시작,가호 (Gaho) ,"34,974,726",new,"댄스/팝,
OST ",2020.02.01
55,2020-02-29 23:59:59,56,불티 (Spark),태연 (TAEYEON) ,"34,822,129",15,"댄스/팝,
발라드,
알앤비/소울 ",2019.10.28
56,2020-02-29 23:59:59,57,이별주,황인욱 ,"34,413,242",11,발라드 ,2019.11.01
57,2020-02-29 23:59:59,58,이 번호로 전화해줘,바이브 (Vibe) ,"34,162,939",29,발라드 ,2019.11.13
58,2020-02-29 23:59:59,59,comethru,Jeremy Zucker ,"34,051,014",30,팝 ,2018.09.28
59,2020-02-29 23:59:59,60,워커홀릭,볼빨간사춘기 ,"33,964,558",11,"인디,
댄스/팝 ",2019.09.10
60,2020-02-29 23:59:59,61,너의 하루는 좀 어때,거미 ,"33,912,466",48,"발라드,
OST ",2020.01.14
61,2020-02-29 23:59:59,62,"인기 (Feat. 송가인, 챈슬러)",MC몽 ,"33,829,427",28,랩/힙합 ,2019.10.25
62,2020-02-29 23:59:59,63,시간의 바깥,아이유 (IU) ,"33,218,606",26,"댄스/팝,
발라드 ",2019.11.18
63,2020-02-29 23:59:59,64,소우주 (Mikrokosmos),방탄소년단 ,"32,281,031",-,"랩/힙합,
알앤비/소울 ",2019.04.12
64,2020-02-29 23:59:59,65,Birthday,Anne-Marie ,"32,173,843",new,팝 ,2020.02.07
65,2020-02-29 23:59:59,66,우리 왜 헤어져야 해,신예영 ,"32,073,119",21,발라드 ,2019.11.20
66,2020-02-29 23:59:59,67,내게 들려주고 싶은 말 (Dear Me),태연 (TAEYEON) ,"31,494,956",12,발라드 ,2020.01.15
67,2020-02-29 23:59:59,68,주저하는 연인들을 위해,잔나비 ,"31,307,473",2,"인디,
락/메탈 ",2019.03.13
68,2020-02-29 23:59:59,69,IDOL,방탄소년단 ,"30,985,465",2,랩/힙합 ,2018.08.24
69,2020-02-29 23:59:59,70,00:00 (Zero O`Clock),방탄소년단 ,"30,259,259",new,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
70,2020-02-29 23:59:59,71,교차로 (Crossroads),여자친구 (GFRIEND) ,"30,243,690",new,댄스/팝 ,2020.02.03
71,2020-02-29 23:59:59,72,술이 문제야,"장혜진, 윤민수 ","30,220,508",14,발라드 ,2019.06.18
72,2020-02-29 23:59:59,73,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원) ,"29,683,848",14,발라드 ,2019.11.12
73,2020-02-29 23:59:59,74,안녕,김재환 ,"29,609,455",new,발라드 ,2020.02.02
74,2020-02-29 23:59:59,75,ROXANNE,Arizona Zervas ,"29,595,298",19,랩/힙합 ,2019.10.10
75,2020-02-29 23:59:59,76,Feel Special,TWICE ,"29,456,303",20,댄스/팝 ,2019.09.23
76,2020-02-29 23:59:59,77,십이월 이십오일의 고백,정승환 ,"29,364,167",46,발라드 ,2019.12.05
77,2020-02-29 23:59:59,78,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE) ,"29,168,288",8,발라드 ,2016.03.30
78,2020-02-29 23:59:59,79,잘 지내고 있는지 궁금해,V.O.S ,"29,103,192",new,발라드 ,2020.02.09
79,2020-02-29 23:59:59,80,Know Me Too Well,"New Hope Club, Danna Paola ","28,385,278",56,팝 ,2019.10.04
80,2020-02-29 23:59:59,81,잘 살고 있다,V.O.S ,"28,264,102",8,발라드 ,2019.12.02
81,2020-02-29 23:59:59,82,너에게 못했던 내 마지막 말은,다비치 ,"28,147,704",17,발라드 ,2019.05.17
82,2020-02-29 23:59:59,83,가을밤 떠난 너,케이시 (Kassy) ,"26,543,629",21,발라드 ,2019.09.05
83,2020-02-29 23:59:59,84,친구,방탄소년단 ,"26,527,543",new,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
84,2020-02-29 23:59:59,85,Painkiller,Ruel ,"26,497,187",64,팝 ,2019.04.30
85,2020-02-29 23:59:59,86,Go away go away,"찬열 (CHANYEOL), 펀치 (Punch) ","26,452,241",75,"댄스/팝,
OST ",2020.01.20
86,2020-02-29 23:59:59,87,나의 어깨에 기대어요,10cm ,"26,288,647",16,"발라드,
OST ",2019.07.20
87,2020-02-29 23:59:59,88,헤어지자 (Prod. 정키),휘인 (Whee In) ,"26,170,849",14,발라드 ,2019.09.04
88,2020-02-29 23:59:59,89,그때가 좋았어,케이시 (Kassy) ,"26,149,842",8,발라드 ,2018.12.31
89,2020-02-29 23:59:59,90,LION,(여자)아이들 ,"25,963,670",27,댄스/팝 ,2019.10.25
90,2020-02-29 23:59:59,91,Filter,방탄소년단 ,"25,554,459",new,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
91,2020-02-29 23:59:59,92,Memories,Maroon 5 ,"25,513,457",5,팝 ,2019.09.20
92,2020-02-29 23:59:59,93,Obsession,EXO ,"25,212,412",39,댄스/팝 ,2019.11.27
93,2020-02-29 23:59:59,94,버릇처럼 셋을 센다,KCM ,"24,990,499",HOT,발라드 ,2020.01.24
94,2020-02-29 23:59:59,95,내가 많이 사랑해요,이승철 ,"24,889,102",HOT,"발라드,
OST ",2020.01.20
95,2020-02-29 23:59:59,96,ALL FOR YOU,젝스키스 ,"24,630,019",58,알앤비/소울 ,2020.01.28
96,2020-02-29 23:59:59,97,Show Yourself,"Idina Menzel, Evan Rachel Wood ","24,533,835",50,"팝,
OST ",2019.11.15
