,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-10-31 23:59:59,1,사랑은 늘 도망가,임영웅 ,"104,807,758",new,"발라드,
OST ",2021.10.11
1,2021-10-31 23:59:59,2,Stay,"The Kid LAROI, Justin Bieber ","103,321,545",1,팝 ,2021.07.09
2,2021-10-31 23:59:59,3,Savage,aespa ,"101,995,712",new,댄스/팝 ,2021.10.05
3,2021-10-31 23:59:59,4,신호등,이무진 ,"93,505,087",2,댄스/팝 ,2021.05.14
4,2021-10-31 23:59:59,5,My Universe,"Coldplay, 방탄소년단 ","87,363,777",46,팝 ,2021.09.24
5,2021-10-31 23:59:59,6,Next Level,aespa ,"78,499,174",3,댄스/팝 ,2021.05.17
6,2021-10-31 23:59:59,7,strawberry moon,아이유 (IU) ,"78,461,394",new,댄스/팝 ,2021.10.19
7,2021-10-31 23:59:59,8,낙하 (with 아이유),AKMU (악뮤) ,"77,587,388",2,"댄스/팝,
알앤비/소울 ",2021.07.26
8,2021-10-31 23:59:59,9,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코) ","72,893,832",2,2020.06.20,싱글
9,2021-10-31 23:59:59,10,바라만 본다,MSG워너비(M.O.M) ,"67,319,550",6,발라드 ,2021.06.26
10,2021-10-31 23:59:59,11,다정히 내 이름을 부르면,"경서예지, 전건호 ","65,429,883",8,발라드 ,2021.05.19
11,2021-10-31 23:59:59,12,Permission to Dance,방탄소년단 ,"64,247,208",3,댄스/팝 ,2021.07.09
12,2021-10-31 23:59:59,13,Weekend,태연 (TAEYEON) ,"64,213,940",8,댄스/팝 ,2021.07.06
13,2021-10-31 23:59:59,14,Butter,방탄소년단 ,"59,372,968",3,댄스/팝 ,2021.05.21
14,2021-10-31 23:59:59,15,Bad Habits,Ed Sheeran ,"57,428,882",2,팝 ,2021.10.29
15,2021-10-31 23:59:59,16,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber ,"56,375,104",1,팝 ,2021.03.19
16,2021-10-31 23:59:59,17,헤픈 우연,헤이즈 (Heize) ,"53,112,940",1,알앤비/소울 ,2021.05.20
