,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-09-30 23:59:59,1,Stay,"The Kid LAROI, Justin Bieber ","128,963,307",8,팝 ,2021.07.09
1,2021-09-30 23:59:59,2,신호등,이무진 ,"111,468,383",1,댄스/팝 ,2021.05.14
2,2021-09-30 23:59:59,3,Next Level,aespa ,"88,103,790",1,댄스/팝 ,2021.05.17
3,2021-09-30 23:59:59,4,바라만 본다,MSG워너비(M.O.M) ,"84,085,988",1,발라드 ,2021.06.26
4,2021-09-30 23:59:59,5,Weekend,태연 (TAEYEON) ,"80,214,341",-,댄스/팝 ,2021.07.06
5,2021-09-30 23:59:59,6,낙하 (with 아이유),AKMU (악뮤) ,"79,329,502",4,"댄스/팝,
알앤비/소울 ",2021.07.26
6,2021-09-30 23:59:59,7,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코) ","79,209,120",4,2020.06.20,싱글
7,2021-09-30 23:59:59,8,Queendom,레드벨벳(Red Velvet) ,"75,120,842",16,댄스/팝 ,2021.08.16
8,2021-09-30 23:59:59,9,Permission to Dance,방탄소년단 ,"75,116,920",3,댄스/팝 ,2021.07.09
9,2021-09-30 23:59:59,10,DUMB DUMB,전소미 ,"70,804,132",4,댄스/팝 ,2021.08.02
10,2021-09-30 23:59:59,11,Butter,방탄소년단 ,"68,126,437",4,댄스/팝 ,2021.05.21
11,2021-09-30 23:59:59,12,좋아좋아,조정석 ,"67,541,007",4,"댄스/팝,
OST ",2021.07.16
12,2021-09-30 23:59:59,13,Bad Habits,Ed Sheeran ,"63,994,172",8,팝 ,2021.10.29
13,2021-09-30 23:59:59,14,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will) ,"63,381,182",new,발라드 ,2021.08.31
14,2021-09-30 23:59:59,15,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber ,"62,837,376",3,팝 ,2021.03.19
15,2021-09-30 23:59:59,16,헤픈 우연,헤이즈 (Heize) ,"62,536,520",6,알앤비/소울 ,2021.05.20
16,2021-09-30 23:59:59,17,비와 당신,이무진 ,"54,369,940",2,"락/메탈,
OST ",2021.06.18
17,2021-09-30 23:59:59,18,Dynamite,방탄소년단 ,"52,652,303",1,댄스/팝 ,2020.08.21
18,2021-09-30 23:59:59,19,다정히 내 이름을 부르면,"경서예지, 전건호 ","51,742,645",13,발라드 ,2021.05.19
19,2021-09-30 23:59:59,20,Dun Dun Dance,오마이걸 (OH MY GIRL) ,"50,598,733",7,댄스/팝 ,2021.05.10
20,2021-09-30 23:59:59,21,비가 오는 날엔 (2021),헤이즈 (Heize) ,"49,489,358",1,"발라드,
OST ",2021.08.04
21,2021-09-30 23:59:59,22,라일락,아이유 (IU) ,"49,413,297",4,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
22,2021-09-30 23:59:59,23,고백,멜로망스(Melomance) ,"48,644,936",HOT,발라드 ,2021.08.29
23,2021-09-30 23:59:59,24,롤린 (Rollin`),브레이브걸스 (Brave Girls) ,"48,214,270",8,댄스/팝 ,2017.03.07
24,2021-09-30 23:59:59,25,Celebrity,아이유 (IU) ,"46,185,455",2,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
25,2021-09-30 23:59:59,26,ASAP,STAYC(스테이씨) ,"44,515,035",-,"일렉트로닉,
댄스/팝,
알앤비/소울 ",2021.04.08
26,2021-09-30 23:59:59,27,하루만 더,빅마마 (BigMama) ,"40,735,390",2,발라드 ,2021.06.24
27,2021-09-30 23:59:59,28,가을 우체국 앞에서,김대명 ,"40,461,372",8,"발라드,
OST ",2021.06.25
28,2021-09-30 23:59:59,29,Sticker,NCT 127 ,"39,537,691",new,"댄스/팝,
랩/힙합 ",2021.09.17
29,2021-09-30 23:59:59,30,Alcohol-Free,TWICE ,"38,374,818",10,댄스/팝 ,2021.06.11
30,2021-09-30 23:59:59,31,색안경 (STEREOTYPE),STAYC(스테이씨) ,"38,362,630",new,"댄스/팝,
알앤비/소울 ",2021.09.06
31,2021-09-30 23:59:59,32,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave Girls) ,"37,884,129",13,댄스/팝 ,2021.06.17
32,2021-09-30 23:59:59,33,가을 타나 봐,이무진 ,"37,818,349",new,포크/어쿠스틱 ,2021.09.14
33,2021-09-30 23:59:59,34,안녕 (Hello),조이 (JOY) ,"37,447,131",7,댄스/팝 ,2021.05.31
34,2021-09-30 23:59:59,35,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들 ,"37,334,783",4,랩/힙합 ,2021.03.20
35,2021-09-30 23:59:59,36,내 손을 잡아,아이유 (IU) ,"35,303,588",1,OST ,2011.05.25
36,2021-09-30 23:59:59,37,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"34,886,839",1,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
37,2021-09-30 23:59:59,38,운전만해 (We Ride),브레이브걸스 (Brave Girls) ,"34,721,515",9,댄스/팝 ,2020.08.14
38,2021-09-30 23:59:59,39,밤하늘의 별을(2020),경서 ,"34,242,493",2,"인디,
발라드 ",2020.11.14
39,2021-09-30 23:59:59,40,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS ","33,885,227",-,팝 ,2020.10.02
40,2021-09-30 23:59:59,41,Lovesick Girls,BLACKPINK ,"33,627,847",-,"댄스/팝,
랩/힙합 ",2020.10.02
41,2021-09-30 23:59:59,42,밝게 빛나는 별이 되어 비춰줄게,송이한 ,"33,190,803",-,"인디,
알앤비/소울 ",2020.12.29
42,2021-09-30 23:59:59,43,Off My Face,Justin Bieber ,"33,110,720",7,팝 ,2021.03.19
43,2021-09-30 23:59:59,44,Timeless,SG 워너비 ,"32,674,344",11,"댄스/팝,
알앤비/소울 ",2004.01.20
44,2021-09-30 23:59:59,45,여전히 아름다운지,세븐틴 ,"32,470,126",14,"발라드,
OST ",2021.08.13
45,2021-09-30 23:59:59,46,상상더하기,라붐 (LABOUM) ,"32,305,438",16,댄스/팝 ,2016.04.06
46,2021-09-30 23:59:59,47,빨간 립스틱 (Feat. 윤미래),이하이 ,"31,006,717",new,알앤비/소울 ,2021.09.09
47,2021-09-30 23:59:59,48,나를 아는 사람,MSG워너비(정상동기) ,"30,983,056",20,발라드 ,2021.06.26
48,2021-09-30 23:59:59,49,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔 ,"30,793,362",4,"댄스/팝,
OST ",2021.07.30
49,2021-09-30 23:59:59,50,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"30,495,021",4,"랩/힙합,
알앤비/소울 ",2019.04.12
50,2021-09-30 23:59:59,51,My Universe,"Coldplay, 방탄소년단 ","30,430,294",new,팝 ,2021.09.24
51,2021-09-30 23:59:59,52,Blueming,아이유 (IU) ,"30,295,081",1,"댄스/팝,
발라드 ",2019.11.18
52,2021-09-30 23:59:59,53,이제 나만 믿어요,임영웅 ,"30,066,340",22,성인가요 ,2020.04.03
53,2021-09-30 23:59:59,54,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"30,049,423",7,"발라드,
OST ",2018.03.20
54,2021-09-30 23:59:59,55,어푸 (Ah puh),아이유 (IU) ,"29,667,451",11,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
55,2021-09-30 23:59:59,56,멜로디,ASH ISLAND ,"29,478,669",13,랩/힙합 ,2021.02.25
56,2021-09-30 23:59:59,57,취기를 빌려 (취향저격 그녀 X 산들),산들 ,"29,449,248",-,발라드 ,2020.07.20
57,2021-09-30 23:59:59,58,추억은 만남보다 이별에 남아,정동하 ,"29,328,997",-,발라드 ,2021.01.31
58,2021-09-30 23:59:59,59,잠이 오질 않네요,장범준 ,"29,264,638",6,발라드 ,2020.10.24
59,2021-09-30 23:59:59,60,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"28,932,022",6,댄스/팝 ,2020.05.06
60,2021-09-30 23:59:59,61,아로하,조정석 ,"28,863,996",5,"인디,
OST ",2020.03.27
61,2021-09-30 23:59:59,62,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"28,265,687",3,"인디,
OST ",2019.08.23
62,2021-09-30 23:59:59,63,2002,Anne-Marie ,"28,257,833",3,"알앤비/소울,
일렉트로닉 ",2018.04.27
63,2021-09-30 23:59:59,64,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH) ,"28,078,541",17,랩/힙합 ,2021.06.29
64,2021-09-30 23:59:59,65,Dolphin,오마이걸 (OH MY GIRL) ,"27,837,302",17,댄스/팝 ,2020.04.27
65,2021-09-30 23:59:59,66,산책,백예린 ,"27,800,560",new,발라드 ,2021.09.10
66,2021-09-30 23:59:59,67,고백,10cm ,"27,605,375",12,댄스/팝 ,2021.08.08
67,2021-09-30 23:59:59,68,봄날,방탄소년단 ,"27,247,195",6,"댄스/팝,
랩/힙합 ",2017.02.13
68,2021-09-30 23:59:59,69,가까운 듯 먼 그대여,카더가든 ,"27,111,235",HOT,발라드 ,2021.08.26
69,2021-09-30 23:59:59,70,슈퍼스타,미도와 파라솔 ,"26,698,166",31,"락/메탈,
OST ",2021.07.23
70,2021-09-30 23:59:59,71,그날에 나는 맘이 편했을까,이예준 ,"26,674,397",2,발라드 ,2020.12.03
71,2021-09-30 23:59:59,72,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein)) ","26,396,881",38,"댄스/팝,
발라드 ",2021.05.22
72,2021-09-30 23:59:59,73,Hey Mama (Feat. Nicki Minaj & Afrojack),David Guetta ,"26,105,232",new,일렉트로닉 ,2014.11.21
73,2021-09-30 23:59:59,74,오래된 노래,스탠딩 에그(Standing Egg) ,"25,994,900",2,발라드 ,2012.09.04
74,2021-09-30 23:59:59,75,METEOR,창모 (CHANGMO) ,"25,410,050",3,랩/힙합 ,2019.11.29
75,2021-09-30 23:59:59,76,Life Goes On,방탄소년단 ,"24,821,173",9,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.11.20
76,2021-09-30 23:59:59,77,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지 ","24,663,155",14,댄스/팝 ,2021.03.05
77,2021-09-30 23:59:59,78,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재 ,"23,925,702",4,"인디,
발라드 ",2020.10.23
78,2021-09-30 23:59:59,79,너의 번호를 누르고 (Prod. 영화처럼),#안녕 ,"23,737,874",2,"인디,
발라드 ",2019.11.30
79,2021-09-30 23:59:59,80,회상,정경호 ,"23,696,846",33,"발라드,
OST ",2021.08.20
80,2021-09-30 23:59:59,81,Memories,Maroon 5 ,"23,563,250",3,팝 ,2019.09.20
81,2021-09-30 23:59:59,82,12:45 (Stripped),Etham ,"23,439,543",1,팝 ,2018.10.26
82,2021-09-30 23:59:59,83,고백,장범준 ,"23,299,160",17,댄스/팝 ,2021.07.19
83,2021-09-30 23:59:59,84,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"23,219,234",4,"인디,
발라드,
알앤비/소울 ",2019.06.09
84,2021-09-30 23:59:59,85,라라라,SG 워너비 ,"22,839,012",33,"댄스/팝,
발라드 ",2008.04.24
85,2021-09-30 23:59:59,86,사실 나는 (Feat.전건호),경서예지 ,"22,801,831",2,"인디,
발라드 ",2020.04.12
86,2021-09-30 23:59:59,87,별빛 같은 나의 사랑아,임영웅 ,"22,387,863",37,성인가요 ,2021.03.09
87,2021-09-30 23:59:59,88,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) ","21,092,406",8,랩/힙합 ,2020.11.21
88,2021-09-30 23:59:59,89,Coin,아이유 (IU) ,"20,077,544",19,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
89,2021-09-30 23:59:59,90,어떻게 지내,오반 (OVAN) ,"19,653,699",3,"인디,
랩/힙합 ",2020.03.05
90,2021-09-30 23:59:59,91,허리춤,오반 (OVAN) ,"18,502,633",20,"인디,
랩/힙합 ",2021.06.21
91,2021-09-30 23:59:59,92,넌 좋은 사람,SG 워너비 ,"18,256,891",43,발라드 ,2021.07.16
92,2021-09-30 23:59:59,93,Butterfly,전미도 ,"18,250,538",new,"댄스/팝,
OST ",2021.09.17
93,2021-09-30 23:59:59,94,On The Ground,로제 (ROSE) ,"18,129,868",12,락/메탈 ,2021.03.12
94,2021-09-30 23:59:59,95,LALISA,리사 (LISA) ,"18,099,637",new,랩/힙합 ,2021.09.10
95,2021-09-30 23:59:59,96,늦은 밤 너의 집 앞 골목길에서,노을 ,"17,088,933",5,발라드 ,2019.11.07
96,2021-09-30 23:59:59,97,벌써 일년 (Drama Ver.),미도와 파라솔 ,"16,958,243",11,"댄스/팝,
OST ",2021.07.30
