,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2020-01-31 23:59:59,1,METEOR,창모 (CHANGMO) ,"188,312,055",8,랩/힙합 ,2019.11.29
1,2020-01-31 23:59:59,2,아무노래,지코 (ZICO) ,"180,132,836",new,랩/힙합 ,2020.01.13
2,2020-01-31 23:59:59,3,Psycho,레드벨벳(Red Velvet) ,"155,924,111",28,댄스/팝 ,2019.12.23
3,2020-01-31 23:59:59,4,Blueming,아이유 (IU) ,"134,366,907",3,"댄스/팝,
발라드 ",2019.11.18
4,2020-01-31 23:59:59,5,늦은 밤 너의 집 앞 골목길에서,노을 ,"117,735,079",3,발라드 ,2019.11.07
5,2020-01-31 23:59:59,6,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic) ","116,110,831",3,랩/힙합 ,2019.12.03
6,2020-01-31 23:59:59,7,HIP,마마무 (Mamamoo) ,"108,466,365",1,댄스/팝 ,2019.11.14
7,2020-01-31 23:59:59,8,Square (2017),백예린 ,"96,420,215",2,"댄스/팝,
알앤비/소울 ",2019.12.10
8,2020-01-31 23:59:59,9,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"95,760,270",3,"인디,
OST ",2019.08.23
9,2020-01-31 23:59:59,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"94,508,736",-,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
10,2020-01-31 23:59:59,11,Love poem,아이유 (IU) ,"90,569,322",4,"댄스/팝,
발라드 ",2019.11.18
11,2020-01-31 23:59:59,12,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영 ,"85,268,852",39,발라드 ,2019.12.22
12,2020-01-31 23:59:59,13,"다시 난, 여기",백예린 ,"81,709,875",new,"발라드,
OST ",2020.01.12
13,2020-01-31 23:59:59,14,Into the Unknown,"Idina Menzel, AURORA ","76,251,353",10,"팝,
OST ",2019.11.15
14,2020-01-31 23:59:59,15,나의 오랜 연인에게,다비치 ,"75,180,581",10,발라드 ,2019.12.03
15,2020-01-31 23:59:59,16,빌었어,창모 (CHANGMO) ,"74,745,848",67,랩/힙합 ,2019.11.29
16,2020-01-31 23:59:59,17,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"73,885,123",19,"랩/힙합,
알앤비/소울 ",2019.04.12
17,2020-01-31 23:59:59,18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"70,199,360",4,"인디,
발라드,
알앤비/소울 ",2019.06.09
18,2020-01-31 23:59:59,19,안녕,폴킴 ,"69,213,972",1,"발라드,
OST ",2019.08.12
19,2020-01-31 23:59:59,20,조금 취했어 (Prod. 2soo),임재현 ,"66,256,521",3,"인디,
발라드 ",2019.09.24
20,2020-01-31 23:59:59,21,사랑이란 멜로는 없어,전상근 ,"66,007,939",2,발라드 ,2019.09.08
21,2020-01-31 23:59:59,22,2002,Anne-Marie ,"63,066,588",8,"알앤비/소울,
일렉트로닉 ",2018.04.27
22,2020-01-31 23:59:59,23,너를 사랑하고 있어,백현 (BAEKHYUN) ,"61,985,004",new,"발라드,
OST ",2020.01.07
23,2020-01-31 23:59:59,24,Black Swan,방탄소년단 ,"60,846,281",new,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
24,2020-01-31 23:59:59,25,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"60,040,615",9,"발라드,
OST ",2018.03.20
25,2020-01-31 23:59:59,26,헤어진 우리가 지켜야 할 것들,"김나영, 양다일 ","58,711,049",15,발라드 ,2019.12.01
26,2020-01-31 23:59:59,27,새 사랑,송하예 ,"55,584,951",7,발라드 ,2019.10.12
27,2020-01-31 23:59:59,28,시든 꽃에 물을 주듯,HYNN(박혜원) ,"55,412,934",1,발라드 ,2019.03.31
28,2020-01-31 23:59:59,29,이 번호로 전화해줘,바이브 (Vibe) ,"53,864,960",15,발라드 ,2019.11.13
29,2020-01-31 23:59:59,30,포장마차,황인욱 ,"53,437,496",2,발라드 ,2019.06.20
30,2020-01-31 23:59:59,31,십이월 이십오일의 고백,정승환 ,"53,072,318",18,발라드 ,2019.12.05
31,2020-01-31 23:59:59,32,bad guy,Billie Eilish ,"52,449,064",12,팝 ,2019.03.29
32,2020-01-31 23:59:59,33,있어줘요,장덕철 ,"52,156,151",6,발라드 ,2019.10.09
33,2020-01-31 23:59:59,34,"인기 (Feat. 송가인, 챈슬러)",MC몽 ,"51,036,652",11,랩/힙합 ,2019.10.25
34,2020-01-31 23:59:59,35,니 소식,송하예 ,"50,950,741",2,발라드 ,2019.05.11
35,2020-01-31 23:59:59,36,다시 만날까 봐,V.O.S ,"50,921,886",7,발라드 ,2019.09.01
36,2020-01-31 23:59:59,37,시간의 바깥,아이유 (IU) ,"49,860,945",16,"댄스/팝,
발라드 ",2019.11.18
37,2020-01-31 23:59:59,38,너를 만나,폴킴 ,"49,102,696",10,발라드 ,2018.10.29
38,2020-01-31 23:59:59,39,기억해줘요 내 모든 날과 그때를,거미 ,"48,980,555",2,"발라드,
OST ",2019.08.04
39,2020-01-31 23:59:59,40,BAND,"창모, Hash Swan, ASH ISLAND, 김효은 ","48,769,010",13,랩/힙합 ,2019.06.08
40,2020-01-31 23:59:59,41,불티 (Spark),태연 (TAEYEON) ,"48,585,105",13,"댄스/팝,
발라드,
알앤비/소울 ",2019.10.28
41,2020-01-31 23:59:59,42,사랑에 연습이 있었다면 (Prod. 2soo),임재현 ,"48,564,367",3,발라드 ,2018.09.25
42,2020-01-31 23:59:59,43,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz) ,"47,658,740",2,발라드 ,2019.05.27
43,2020-01-31 23:59:59,44,Flower,윤미래 (T) ,"47,347,603",HOT,"발라드,
OST ",2019.12.22
44,2020-01-31 23:59:59,45,Senorita,"Shawn Mendes, Camila Cabello ","46,672,053",1,팝 ,2019.06.21
45,2020-01-31 23:59:59,46,이별주,황인욱 ,"45,433,022",8,발라드 ,2019.11.01
46,2020-01-31 23:59:59,47,Show Yourself,"Idina Menzel, Evan Rachel Wood ","45,326,116",32,"팝,
OST ",2019.11.15
47,2020-01-31 23:59:59,48,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (Maktub) ,"45,318,479",new,"인디,
알앤비/소울 ",2019.12.30
48,2020-01-31 23:59:59,49,워커홀릭,볼빨간사춘기 ,"44,846,007",9,"인디,
댄스/팝 ",2019.09.10
49,2020-01-31 23:59:59,50,그대라는 시,태연 (TAEYEON) ,"43,909,960",2,"발라드,
OST ",2019.07.21
50,2020-01-31 23:59:59,51,봄날,방탄소년단 ,"43,391,555",33,"댄스/팝,
랩/힙합 ",2017.02.13
51,2020-01-31 23:59:59,52,사계 (Four Seasons),태연 (TAEYEON) ,"42,698,139",6,"댄스/팝,
발라드 ",2019.03.24
52,2020-01-31 23:59:59,53,Paris In The Rain,Lauv ,"42,327,779",9,팝 ,2018.05.31
53,2020-01-31 23:59:59,54,Obsession,EXO ,"42,311,499",28,댄스/팝 ,2019.11.27
54,2020-01-31 23:59:59,55,내게 들려주고 싶은 말 (Dear Me),태연 (TAEYEON) ,"41,792,434",new,발라드 ,2020.01.15
55,2020-01-31 23:59:59,56,Feel Special,TWICE ,"41,196,297",1,댄스/팝 ,2019.09.23
56,2020-01-31 23:59:59,57,첫 겨울이니까,"성시경, 아이유 (IU) ","40,699,982",41,발라드 ,2019.12.09
57,2020-01-31 23:59:59,58,술이 문제야,"장혜진, 윤민수 ","40,416,270",8,발라드 ,2019.06.18
58,2020-01-31 23:59:59,59,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원) ,"39,714,228",12,발라드 ,2019.11.12
59,2020-01-31 23:59:59,60,먹구름,윤하 ,"38,320,571",new,댄스/팝 ,2020.01.06
60,2020-01-31 23:59:59,61,노을,다비치 ,"37,907,735",HOT,"발라드,
OST ",2019.12.29
61,2020-01-31 23:59:59,62,가을밤 떠난 너,케이시 (Kassy) ,"37,107,324",8,발라드 ,2019.09.05
62,2020-01-31 23:59:59,63,LION,(여자)아이들 ,"36,974,096",7,댄스/팝 ,2019.10.25
63,2020-01-31 23:59:59,64,소우주 (Mikrokosmos),방탄소년단 ,"36,396,862",57,"랩/힙합,
알앤비/소울 ",2019.04.12
64,2020-01-31 23:59:59,65,너에게 못했던 내 마지막 말은,다비치 ,"36,054,533",3,발라드 ,2019.05.17
65,2020-01-31 23:59:59,66,주저하는 연인들을 위해,잔나비 ,"36,030,649",11,"인디,
락/메탈 ",2019.03.13
66,2020-01-31 23:59:59,67,IDOL,방탄소년단 ,"35,175,382",23,랩/힙합 ,2018.08.24
67,2020-01-31 23:59:59,68,Speechless (Full),Naomi Scott ,"34,810,869",1,"팝,
OST ",2019.05.22
68,2020-01-31 23:59:59,69,숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),태연 (TAEYEON) ,"34,780,318",34,"댄스/팝,
OST ",2019.11.15
69,2020-01-31 23:59:59,70,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE) ,"34,761,384",4,발라드 ,2016.03.30
70,2020-01-31 23:59:59,71,나의 어깨에 기대어요,10cm ,"34,205,365",4,"발라드,
OST ",2019.07.20
71,2020-01-31 23:59:59,72,허전해,폴킴 ,"34,172,780",17,알앤비/소울 ,2019.10.07
72,2020-01-31 23:59:59,73,잘 살고 있다,V.O.S ,"33,887,098",1,발라드 ,2019.12.02
73,2020-01-31 23:59:59,74,헤어지자 (Prod. 정키),휘인 (Whee In) ,"33,302,720",9,발라드 ,2019.09.04
74,2020-01-31 23:59:59,75,Nerdy Love (Feat. 백예린),pH-1 ,"33,288,891",new,랩/힙합 ,2020.01.09
