,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2020-10-31 23:59:59,1,Dynamite,방탄소년단 ,"178,394,964",-,댄스/팝 ,2020.08.21
1,2020-10-31 23:59:59,2,DON`T TOUCH ME,환불원정대 ,"149,782,379",new,댄스/팝 ,2020.10.10
2,2020-10-31 23:59:59,3,Lovesick Girls,BLACKPINK ,"147,244,547",new,"댄스/팝,
랩/힙합 ",2020.10.02
3,2020-10-31 23:59:59,4,취기를 빌려 (취향저격 그녀 X 산들),산들 ,"120,606,702",2,발라드 ,2020.07.20
4,2020-10-31 23:59:59,5,When We Disco (Duet with 선미),박진영 ,"95,090,837",1,댄스/팝 ,2020.08.12
5,2020-10-31 23:59:59,6,오래된 노래,스탠딩 에그(Standing Egg) ,"86,733,654",3,발라드 ,2012.09.04
6,2020-10-31 23:59:59,7,눈누난나 (NUNU NANA),제시(Jessi) ,"85,825,546",4,랩/힙합 ,2020.07.30
7,2020-10-31 23:59:59,8,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN) ,"82,449,865",2,발라드 ,2020.08.23
8,2020-10-31 23:59:59,9,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS ","82,013,765",new,팝 ,2020.10.02
9,2020-10-31 23:59:59,10,마리아 (Maria),화사(Hwa Sa) ,"80,771,700",5,댄스/팝 ,2020.06.29
10,2020-10-31 23:59:59,11,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"74,150,423",3,댄스/팝 ,2020.05.06
11,2020-10-31 23:59:59,12,Dolphin,오마이걸 (OH MY GIRL) ,"72,563,731",1,댄스/팝 ,2020.04.27
12,2020-10-31 23:59:59,13,How You Like That,BLACKPINK ,"72,447,571",6,댄스/팝 ,2020.06.26
13,2020-10-31 23:59:59,14,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡) ","66,748,190",10,댄스/팝 ,2020.07.18
14,2020-10-31 23:59:59,15,아로하,조정석 ,"61,081,509",1,"인디,
OST ",2020.03.27
15,2020-10-31 23:59:59,16,Blueming,아이유 (IU) ,"57,874,472",5,"댄스/팝,
발라드 ",2019.11.18
16,2020-10-31 23:59:59,17,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"57,113,805",8,"인디,
OST ",2019.08.23
17,2020-10-31 23:59:59,18,홀로,이하이 ,"56,961,760",1,알앤비/소울 ,2020.07.23
18,2020-10-31 23:59:59,19,Downtown Baby,블루 (BLOO) ,"56,778,094",3,랩/힙합 ,2017.12.06
19,2020-10-31 23:59:59,20,힘든 건 사랑이 아니다,임창정 ,"56,530,924",new,발라드 ,2020.10.19
20,2020-10-31 23:59:59,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"55,164,267",8,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
21,2020-10-31 23:59:59,22,어떻게 지내,오반 (OVAN) ,"54,307,466",1,"인디,
랩/힙합 ",2020.03.05
22,2020-10-31 23:59:59,23,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL) ,"53,489,989",4,댄스/팝 ,2020.04.27
23,2020-10-31 23:59:59,24,늦은 밤 너의 집 앞 골목길에서,노을 ,"53,476,771",7,발라드 ,2019.11.07
24,2020-10-31 23:59:59,25,Memories,Maroon 5 ,"53,171,519",3,팝 ,2019.09.20
25,2020-10-31 23:59:59,26,Dance Monkey,Tones And I ,"52,813,365",2,알앤비/소울 ,2019.08.29
26,2020-10-31 23:59:59,27,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"51,937,531",-,"랩/힙합,
알앤비/소울 ",2019.04.12
27,2020-10-31 23:59:59,28,METEOR,창모 (CHANGMO) ,"51,112,008",-,랩/힙합 ,2019.11.29
28,2020-10-31 23:59:59,29,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"50,445,068",3,"발라드,
OST ",2018.03.20
29,2020-10-31 23:59:59,30,Ice Cream (with Selena Gomez),BLACKPINK ,"49,374,390",15,댄스/팝 ,2020.08.28
30,2020-10-31 23:59:59,31,Not Shy,ITZY (있지) ,"48,587,775",19,댄스/팝 ,2020.08.17
31,2020-10-31 23:59:59,32,덤디덤디 (DUMDi DUMDi),(여자)아이들 ,"48,546,776",19,댄스/팝 ,2020.08.03
32,2020-10-31 23:59:59,33,Bad Boy,"청하, Christopher ","48,387,662",HOT,팝 ,2020.09.23
33,2020-10-31 23:59:59,34,거짓말이라도 해서 널 보고싶어,백지영 ,"46,986,210",1,발라드 ,2020.07.14
34,2020-10-31 23:59:59,35,사랑은 지날수록 더욱 선명하게 남아,전상근 ,"46,314,491",-,발라드 ,2020.06.07
35,2020-10-31 23:59:59,36,2002,Anne-Marie ,"45,077,119",-,"알앤비/소울,
일렉트로닉 ",2018.04.27
36,2020-10-31 23:59:59,37,사랑하게 될 줄 알았어,전미도 ,"43,312,148",7,"댄스/팝,
OST ",2020.05.22
37,2020-10-31 23:59:59,38,Don`t Start Now,Dua Lipa ,"42,312,184",4,팝 ,2020.03.27
38,2020-10-31 23:59:59,39,Summer Hate (Feat. 비),지코 (ZICO) ,"42,027,872",21,랩/힙합 ,2020.07.01
39,2020-10-31 23:59:59,40,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"41,649,344",1,"인디,
발라드,
알앤비/소울 ",2019.06.09
40,2020-10-31 23:59:59,41,Bet You Wanna (Feat. Cardi B),BLACKPINK ,"40,828,434",new,"댄스/팝,
랩/힙합 ",2020.10.02
41,2020-10-31 23:59:59,42,Love poem,아이유 (IU) ,"40,339,152",3,"댄스/팝,
발라드 ",2019.11.18
42,2020-10-31 23:59:59,43,보라빛 밤 (pporappippam),선미 ,"40,015,044",17,댄스/팝 ,2020.06.29
43,2020-10-31 23:59:59,44,이제 나만 믿어요,임영웅 ,"39,559,806",7,성인가요 ,2020.04.03
44,2020-10-31 23:59:59,45,처음처럼,엠씨더맥스 (M.C The Max) ,"39,538,223",5,발라드 ,2020.03.25
45,2020-10-31 23:59:59,46,놓아줘 (with 태연),크러쉬 (CRUSH) ,"38,914,576",new,"랩/힙합,
알앤비/소울 ",2020.10.20
46,2020-10-31 23:59:59,47,봄날,방탄소년단 ,"38,895,308",1,"댄스/팝,
랩/힙합 ",2017.02.13
47,2020-10-31 23:59:59,48,아무노래,지코 (ZICO) ,"38,806,945",10,랩/힙합 ,2020.01.13
48,2020-10-31 23:59:59,49,마음을 드려요,아이유 (IU) ,"38,546,172",2,"발라드,
OST ",2020.02.15
49,2020-10-31 23:59:59,50,우리 왜 헤어져야 해,신예영 ,"38,389,571",3,발라드 ,2019.11.20
50,2020-10-31 23:59:59,51,Pretty Savage,BLACKPINK ,"37,786,602",new,"댄스/팝,
랩/힙합 ",2020.10.02
51,2020-10-31 23:59:59,52,ON,방탄소년단 ,"36,595,958",9,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
52,2020-10-31 23:59:59,53,안녕,폴킴 ,"36,465,998",1,"발라드,
OST ",2019.08.12
53,2020-10-31 23:59:59,54,서면역에서,순순희 ,"35,781,099",HOT,"인디,
발라드 ",2020.05.05
54,2020-10-31 23:59:59,55,시작,가호 (Gaho) ,"35,245,885",11,"댄스/팝,
OST ",2020.02.01
55,2020-10-31 23:59:59,56,Psycho,레드벨벳(Red Velvet) ,"34,652,834",7,댄스/팝 ,2019.12.23
56,2020-10-31 23:59:59,57,그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡) ","34,450,766",37,댄스/팝 ,2020.07.25
57,2020-10-31 23:59:59,58,가을 타나 봐,바이브 (Vibe) ,"34,448,801",72,발라드 ,2018.09.18
58,2020-10-31 23:59:59,59,밤하늘의 저 별처럼,"헤이즈 (Heize), 펀치 (Punch) ","33,778,941",HOT,"댄스/팝,
OST ",2020.09.27
59,2020-10-31 23:59:59,60,Into the I-LAND,아이유 (IU) ,"33,356,259",18,댄스/팝 ,2020.06.19
60,2020-10-31 23:59:59,61,Maniac,Conan Gray ,"33,348,683",6,팝 ,2019.10.25
61,2020-10-31 23:59:59,62,Paris In The Rain,Lauv ,"33,269,080",8,팝 ,2018.05.31
62,2020-10-31 23:59:59,63,너를 만나,폴킴 ,"32,899,833",-,발라드 ,2018.10.29
63,2020-10-31 23:59:59,64,12:45 (Stripped),Etham ,"32,898,645",5,팝 ,2018.10.26
64,2020-10-31 23:59:59,65,좋은 사람 있으면 소개시켜줘,조이 (JOY) ,"32,779,107",15,"댄스/팝,
OST ",2020.03.20
65,2020-10-31 23:59:59,66,밤새 (취향저격 그녀 X 카더가든),카더가든 ,"31,527,524",4,발라드 ,2020.09.03
66,2020-10-31 23:59:59,67,축하해,오반 (OVAN) ,"31,323,013",1,"인디,
랩/힙합 ",2020.09.09
67,2020-10-31 23:59:59,68,딩가딩가 (Dingga),마마무 (Mamamoo) ,"30,960,887",new,댄스/팝 ,2020.10.20
68,2020-10-31 23:59:59,69,bad guy,Billie Eilish ,"30,547,585",8,팝 ,2019.03.29
69,2020-10-31 23:59:59,70,신난다 (Feat. 마마무),비룡 ,"29,239,081",33,"댄스/팝,
포크/어쿠스틱,
랩/힙합 ",2020.08.01
70,2020-10-31 23:59:59,71,숲의 아이 (Bon voyage),유아 ,"28,742,028",11,댄스/팝 ,2020.09.07
71,2020-10-31 23:59:59,72,시든 꽃에 물을 주듯,HYNN(박혜원) ,"28,658,799",3,발라드 ,2019.03.31
72,2020-10-31 23:59:59,73,Painkiller,Ruel ,"27,831,016",5,팝 ,2019.04.30
73,2020-10-31 23:59:59,74,Make A Wish (Birthday Song),NCT U ,"27,774,768",new,"댄스/팝,
랩/힙합 ",2020.10.12
74,2020-10-31 23:59:59,75,취했나봐,황인욱 ,"27,750,709",10,발라드 ,2020.05.24
75,2020-10-31 23:59:59,76,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기 ,"27,738,654",18,"인디,
포크/어쿠스틱 ",2020.05.13
76,2020-10-31 23:59:59,77,그때 그 아인,김필 ,"27,399,210",10,"발라드,
OST ",2020.02.15
77,2020-10-31 23:59:59,78,잠이 들어야 (Feat. 헤이즈),로꼬 (LOCO) ,"27,229,875",new,랩/힙합 ,2020.10.14
78,2020-10-31 23:59:59,79,잠이 오질 않네요,장범준 ,"26,888,210",new,발라드 ,2020.10.24
79,2020-10-31 23:59:59,80,사랑이란 멜로는 없어,전상근 ,"26,202,019",1,발라드 ,2019.09.08
80,2020-10-31 23:59:59,81,HIP,마마무 (Mamamoo) ,"26,196,072",10,댄스/팝 ,2019.11.14
81,2020-10-31 23:59:59,82,화려하지 않은 고백,규현 (KYUHYUN) ,"26,166,787",18,"발라드,
OST ",2020.04.03
82,2020-10-31 23:59:59,83,Stuck with U,"Ariana Grande, Justin Bieber ","25,911,216",14,팝 ,2020.05.08
83,2020-10-31 23:59:59,84,PLAY (Feat. 창모),청하 ,"25,782,133",28,댄스/팝 ,2020.07.06
84,2020-10-31 23:59:59,85,MORE & MORE,TWICE ,"25,777,855",28,댄스/팝 ,2020.06.01
85,2020-10-31 23:59:59,86,너의 밤은 어때 (취향저격 그녀 X 정은지),정은지 ,"25,676,178",HOT,발라드 ,2020.09.27
86,2020-10-31 23:59:59,87,별을 담은 시 (Ode To The Stars),"마크툽 (Maktub), 이라온 ","25,670,711",7,"인디,
알앤비/소울 ",2020.09.05
87,2020-10-31 23:59:59,88,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡) ","25,475,081",49,댄스/팝 ,2020.07.11
88,2020-10-31 23:59:59,89,반만,진민호 ,"25,112,122",15,발라드 ,2019.11.30
89,2020-10-31 23:59:59,90,하루도 그대를 사랑하지 않은 적이 없었다,임창정 ,"24,571,189",HOT,"댄스/팝,
발라드 ",2018.09.19
90,2020-10-31 23:59:59,91,첫 줄,신용재 ,"23,881,305",21,발라드 ,2020.07.01
91,2020-10-31 23:59:59,92,To Die For,Sam Smith ,"23,659,429",15,"팝,
알앤비/소울 ",2020.02.14
92,2020-10-31 23:59:59,93,테스형!,나훈아 ,"23,371,993",new,성인가요 ,2020.08.20
93,2020-10-31 23:59:59,94,00:00 (Zero O`Clock),방탄소년단 ,"23,236,755",12,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
94,2020-10-31 23:59:59,95,ALIEN,이수현 ,"23,199,844",new,댄스/팝 ,2020.10.16
95,2020-10-31 23:59:59,96,너를 사랑하고 있어,백현 (BAEKHYUN) ,"22,780,314",8,"발라드,
OST ",2020.01.07
96,2020-10-31 23:59:59,97,LINDA (Feat. 윤미래),린다G ,"22,272,075",51,"댄스/팝,
포크/어쿠스틱,
랩/힙합 ",2020.08.01
97,2020-10-31 23:59:59,98,밤편지,아이유 (IU) ,"21,973,074",7,발라드 ,2017.03.24
98,2020-10-31 23:59:59,99,어느 60대 노부부이야기,임영웅 ,"21,343,349",9,성인가요 ,2020.02.21
99,2020-10-31 23:59:59,100,Black Swan,방탄소년단 ,"20,479,432",17,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
100,2020-10-31 23:59:59,101,어떻게 지내 (답가),런치 ,"19,603,037",22,"인디,
랩/힙합 ",2020.06.06
101,2020-10-31 23:59:59,102,HOME;RUN,세븐틴 ,"19,516,022",new,댄스/팝 ,2020.10.19
102,2020-10-31 23:59:59,103,친구,방탄소년단 ,"19,472,601",14,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
103,2020-10-31 23:59:59,104,Love To Hate Me,BLACKPINK ,"19,114,328",new,"댄스/팝,
랩/힙합 ",2020.10.02
104,2020-10-31 23:59:59,105,오래된 노래,임영웅 ,"18,634,010",-,성인가요 ,2020.08.14
105,2020-10-31 23:59:59,106,덤더럼(Dumhdurum),에이핑크 (Apink) ,"18,625,114",34,댄스/팝 ,2020.04.13
106,2020-10-31 23:59:59,107,FIESTA,IZ*ONE (아이즈원) ,"18,344,189",27,"댄스/팝,
발라드 ",2020.02.17
107,2020-10-31 23:59:59,108,우리 사랑한 동안,에일리 (Ailee) ,"17,765,974",new,발라드 ,2020.10.06
108,2020-10-31 23:59:59,109,Filter,방탄소년단 ,"17,576,397",11,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
109,2020-10-31 23:59:59,110,내 마음을 누르는 일 (Daystar),규현 (KYUHYUN) ,"17,413,420",new,발라드 ,2020.10.08
110,2020-10-31 23:59:59,111,사계 (Four Seasons),태연 (TAEYEON) ,"17,344,284",4,"댄스/팝,
발라드 ",2019.03.24
111,2020-10-31 23:59:59,112,주저하는 연인들을 위해,잔나비 ,"17,146,509",8,"인디,
락/메탈 ",2019.03.13
112,2020-10-31 23:59:59,113,WANNABE,ITZY (있지) ,"16,932,896",37,댄스/팝 ,2020.03.09
113,2020-10-31 23:59:59,114,Moon,방탄소년단 ,"16,618,946",17,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.02.21
114,2020-10-31 23:59:59,115,I CAN`T STOP ME,TWICE ,"16,559,260",new,댄스/팝 ,2020.10.26
115,2020-10-31 23:59:59,116,돌덩이,하현우 ,"16,529,459",32,"댄스/팝,
OST ",2020.02.07
116,2020-10-31 23:59:59,117,사실 나는 (Feat.전건호),경서예지 ,"16,398,585",new,"인디,
발라드 ",2020.04.12
117,2020-10-31 23:59:59,118,Holy (Feat. Chance The Rapper),Justin Bieber ,"16,391,182",99,팝 ,2020.09.18
118,2020-10-31 23:59:59,119,Watermelon Sugar,Harry Styles ,"16,330,071",20,팝 ,2019.12.13
119,2020-10-31 23:59:59,120,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo ","16,109,113",11,팝 ,2020.06.11
120,2020-10-31 23:59:59,121,Square (2017),백예린 ,"16,041,099",15,"댄스/팝,
알앤비/소울 ",2019.12.10
