,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2020-09-30 23:59:59,1,Dynamite,방탄소년단 ,"195,985,176",13,댄스/팝 ,2020.08.21
1,2020-09-30 23:59:59,2,취기를 빌려 (취향저격 그녀 X 산들),산들 ,"117,565,145",19,발라드 ,2020.07.20
2,2020-09-30 23:59:59,3,눈누난나 (NUNU NANA),제시(Jessi) ,"102,117,876",2,랩/힙합 ,2020.07.30
3,2020-09-30 23:59:59,4,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡) ","100,113,760",3,댄스/팝 ,2020.07.18
4,2020-09-30 23:59:59,5,마리아 (Maria),화사(Hwa Sa) ,"97,007,670",3,댄스/팝 ,2020.06.29
5,2020-09-30 23:59:59,6,When We Disco (Duet with 선미),박진영 ,"95,395,773",17,댄스/팝 ,2020.08.12
6,2020-09-30 23:59:59,7,How You Like That,BLACKPINK ,"83,373,354",3,댄스/팝 ,2020.06.26
7,2020-09-30 23:59:59,8,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"80,330,188",1,댄스/팝 ,2020.05.06
8,2020-09-30 23:59:59,9,오래된 노래,스탠딩 에그(Standing Egg) ,"80,132,902",39,발라드 ,2012.09.04
9,2020-09-30 23:59:59,10,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN) ,"76,277,942",92,발라드 ,2020.08.23
10,2020-09-30 23:59:59,11,Dolphin,오마이걸 (OH MY GIRL) ,"74,434,364",2,댄스/팝 ,2020.04.27
11,2020-09-30 23:59:59,12,Not Shy,ITZY (있지) ,"68,773,634",34,댄스/팝 ,2020.08.17
12,2020-09-30 23:59:59,13,덤디덤디 (DUMDi DUMDi),(여자)아이들 ,"67,327,604",4,댄스/팝 ,2020.08.03
13,2020-09-30 23:59:59,14,아로하,조정석 ,"66,326,450",1,"인디,
OST ",2020.03.27
14,2020-09-30 23:59:59,15,Ice Cream (with Selena Gomez),BLACKPINK ,"65,542,114",HOT,댄스/팝 ,2020.08.28
15,2020-09-30 23:59:59,16,Downtown Baby,블루 (BLOO) ,"65,418,037",6,랩/힙합 ,2017.12.06
16,2020-09-30 23:59:59,17,홀로,이하이 ,"62,125,605",4,알앤비/소울 ,2020.07.23
17,2020-09-30 23:59:59,18,Summer Hate (Feat. 비),지코 (ZICO) ,"61,005,511",12,랩/힙합 ,2020.07.01
18,2020-09-30 23:59:59,19,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL) ,"59,621,340",1,댄스/팝 ,2020.04.27
19,2020-09-30 23:59:59,20,그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡) ","57,687,874",17,댄스/팝 ,2020.07.25
20,2020-09-30 23:59:59,21,Blueming,아이유 (IU) ,"55,337,290",4,"댄스/팝,
발라드 ",2019.11.18
21,2020-09-30 23:59:59,22,Memories,Maroon 5 ,"55,120,678",2,팝 ,2019.09.20
22,2020-09-30 23:59:59,23,어떻게 지내,오반 (OVAN) ,"54,350,887",1,"인디,
랩/힙합 ",2020.03.05
23,2020-09-30 23:59:59,24,Dance Monkey,Tones And I ,"53,632,729",5,알앤비/소울 ,2019.08.29
24,2020-09-30 23:59:59,25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"53,029,645",2,"인디,
OST ",2019.08.23
25,2020-09-30 23:59:59,26,보라빛 밤 (pporappippam),선미 ,"51,812,372",10,댄스/팝 ,2020.06.29
26,2020-09-30 23:59:59,27,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"51,648,899",10,"랩/힙합,
알앤비/소울 ",2019.04.12
27,2020-09-30 23:59:59,28,METEOR,창모 (CHANGMO) ,"51,603,916",2,랩/힙합 ,2019.11.29
28,2020-09-30 23:59:59,29,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"51,484,345",3,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
29,2020-09-30 23:59:59,30,사랑하게 될 줄 알았어,전미도 ,"49,237,331",8,"댄스/팝,
OST ",2020.05.22
30,2020-09-30 23:59:59,31,늦은 밤 너의 집 앞 골목길에서,노을 ,"47,033,817",5,발라드 ,2019.11.07
31,2020-09-30 23:59:59,32,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"46,673,864",7,"발라드,
OST ",2018.03.20
32,2020-09-30 23:59:59,33,거짓말이라도 해서 널 보고싶어,백지영 ,"46,669,228",14,발라드 ,2020.07.14
33,2020-09-30 23:59:59,34,Don`t Start Now,Dua Lipa ,"46,465,010",5,팝 ,2020.03.27
34,2020-09-30 23:59:59,35,사랑은 지날수록 더욱 선명하게 남아,전상근 ,"45,864,199",6,발라드 ,2020.06.07
35,2020-09-30 23:59:59,36,2002,Anne-Marie ,"45,841,826",3,"알앤비/소울,
일렉트로닉 ",2018.04.27
36,2020-09-30 23:59:59,37,신난다 (Feat. 마마무),비룡 ,"42,984,145",26,"댄스/팝,
포크/어쿠스틱,
랩/힙합 ",2020.08.01
37,2020-09-30 23:59:59,38,아무노래,지코 (ZICO) ,"42,730,927",8,랩/힙합 ,2020.01.13
38,2020-09-30 23:59:59,39,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡) ","42,313,799",31,댄스/팝 ,2020.07.11
39,2020-09-30 23:59:59,40,처음처럼,엠씨더맥스 (M.C The Max) ,"41,778,723",6,발라드 ,2020.03.25
40,2020-09-30 23:59:59,41,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"40,452,280",4,"인디,
발라드,
알앤비/소울 ",2019.06.09
41,2020-09-30 23:59:59,42,Into the I-LAND,아이유 (IU) ,"39,102,466",14,댄스/팝 ,2020.06.19
