,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-06-30 23:59:59,1,Butter,방탄소년단 ,"146,111,737",7,댄스/팝 ,2021.05.21
1,2021-06-30 23:59:59,2,Next Level,aespa ,"130,607,322",20,댄스/팝 ,2021.05.17
2,2021-06-30 23:59:59,3,헤픈 우연,헤이즈 (Heize) ,"122,378,313",20,알앤비/소울 ,2021.05.20
3,2021-06-30 23:59:59,4,Dun Dun Dance,오마이걸 (OH MY GIRL) ,"114,763,979",3,댄스/팝 ,2021.05.10
4,2021-06-30 23:59:59,5,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber ,"97,144,294",3,팝 ,2021.03.19
5,2021-06-30 23:59:59,6,롤린 (Rollin`),브레이브걸스 (Brave Girls) ,"93,554,909",5,댄스/팝 ,2017.03.07
6,2021-06-30 23:59:59,7,라일락,아이유 (IU) ,"83,868,803",4,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
7,2021-06-30 23:59:59,8,ASAP,STAYC(스테이씨) ,"79,197,896",7,"일렉트로닉,
댄스/팝,
알앤비/소울 ",2021.04.08
8,2021-06-30 23:59:59,9,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein)) ","75,976,147",44,"댄스/팝,
발라드 ",2021.05.22
9,2021-06-30 23:59:59,10,운전만해 (We Ride),브레이브걸스 (Brave Girls) ,"75,423,508",6,댄스/팝 ,2020.08.14
10,2021-06-30 23:59:59,11,안녕 (Hello),조이 (JOY) ,"73,491,384",new,댄스/팝 ,2021.05.31
11,2021-06-30 23:59:59,12,Celebrity,아이유 (IU) ,"72,924,383",7,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
12,2021-06-30 23:59:59,13,Dynamite,방탄소년단 ,"70,159,879",3,댄스/팝 ,2020.08.21
13,2021-06-30 23:59:59,14,Alcohol-Free,TWICE ,"67,073,964",new,댄스/팝 ,2021.06.11
14,2021-06-30 23:59:59,15,상상더하기,라붐 (LABOUM) ,"65,603,789",2,댄스/팝 ,2016.04.06
15,2021-06-30 23:59:59,16,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave Girls) ,"64,420,936",new,댄스/팝 ,2021.06.17
16,2021-06-30 23:59:59,17,Timeless,SG 워너비 ,"62,334,890",11,"댄스/팝,
알앤비/소울 ",2004.01.20
17,2021-06-30 23:59:59,18,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들 ,"56,051,881",7,랩/힙합 ,2021.03.20
18,2021-06-30 23:59:59,19,내 손을 잡아,아이유 (IU) ,"54,166,885",7,OST ,2011.05.25
19,2021-06-30 23:59:59,20,마.피.아. In the morning,ITZY (있지) ,"53,806,248",9,랩/힙합 ,2021.04.30
20,2021-06-30 23:59:59,21,라라라,SG 워너비 ,"51,336,470",12,"댄스/팝,
발라드 ",2008.04.24
21,2021-06-30 23:59:59,22,멜로디,ASH ISLAND ,"49,338,679",2,랩/힙합 ,2021.02.25
22,2021-06-30 23:59:59,23,밝게 빛나는 별이 되어 비춰줄게,송이한 ,"47,396,133",2,"인디,
알앤비/소울 ",2020.12.29
23,2021-06-30 23:59:59,24,밤하늘의 별을(2020),경서 ,"46,614,061",5,"인디,
발라드 ",2020.11.14
24,2021-06-30 23:59:59,25,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지 ","44,886,289",9,댄스/팝 ,2021.03.05
