,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2019-10-31 23:59:59,1,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"238,910,175",24,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
1,2019-10-31 23:59:59,2,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"189,564,560",1,"인디,
OST ",2019.08.23
2,2019-10-31 23:59:59,3,조금 취했어 (Prod. 2soo),임재현 ,"152,070,719",51,"인디,
발라드 ",2019.09.24
3,2019-10-31 23:59:59,4,워커홀릭,볼빨간사춘기 ,"133,909,485",2,"인디,
댄스/팝 ",2019.09.10
4,2019-10-31 23:59:59,5,안녕,폴킴 ,"132,402,953",4,"발라드,
OST ",2019.08.12
5,2019-10-31 23:59:59,6,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"120,752,352",2,"인디,
발라드,
알앤비/소울 ",2019.06.09
6,2019-10-31 23:59:59,7,사랑이란 멜로는 없어,전상근 ,"119,160,557",23,발라드 ,2019.09.08
7,2019-10-31 23:59:59,8,시든 꽃에 물을 주듯,HYNN(박혜원) ,"115,379,831",-,발라드 ,2019.03.31
8,2019-10-31 23:59:59,9,새 사랑,송하예 ,"111,984,403",new,발라드 ,2019.10.12
9,2019-10-31 23:59:59,10,있어줘요,장덕철 ,"104,992,529",new,발라드 ,2019.10.09
10,2019-10-31 23:59:59,11,니 소식,송하예 ,"103,816,080",1,발라드 ,2019.05.11
11,2019-10-31 23:59:59,12,허전해,폴킴 ,"103,037,732",new,알앤비/소울 ,2019.10.07
12,2019-10-31 23:59:59,13,가을밤 떠난 너,케이시 (Kassy) ,"102,300,861",7,발라드 ,2019.09.05
13,2019-10-31 23:59:59,14,Feel Special,TWICE ,"97,869,509",47,댄스/팝 ,2019.09.23
14,2019-10-31 23:59:59,15,기억해줘요 내 모든 날과 그때를,거미 ,"95,412,248",10,"발라드,
OST ",2019.08.04
15,2019-10-31 23:59:59,16,포장마차,황인욱 ,"95,017,611",5,발라드 ,2019.06.20
16,2019-10-31 23:59:59,17,2002,Anne-Marie ,"88,204,896",3,"알앤비/소울,
일렉트로닉 ",2018.04.27
