,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2020-07-31 23:59:59,1,How You Like That,BLACKPINK ,"175,704,998",44,댄스/팝 ,2020.06.26
1,2020-07-31 23:59:59,2,마리아 (Maria),화사(Hwa Sa) ,"160,231,421",HOT,댄스/팝 ,2020.06.29
2,2020-07-31 23:59:59,3,Summer Hate (Feat. 비),지코 (ZICO) ,"157,233,085",new,랩/힙합 ,2020.07.01
3,2020-07-31 23:59:59,4,Downtown Baby,블루 (BLOO) ,"135,894,356",2,랩/힙합 ,2017.12.06
4,2020-07-31 23:59:59,5,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡) ","123,470,196",new,댄스/팝 ,2020.07.18
5,2020-07-31 23:59:59,6,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"117,495,010",5,댄스/팝 ,2020.05.06
6,2020-07-31 23:59:59,7,보라빛 밤 (pporappippam),선미 ,"113,806,491",HOT,댄스/팝 ,2020.06.29
7,2020-07-31 23:59:59,8,아로하,조정석 ,"104,342,563",6,"인디,
OST ",2020.03.27
8,2020-07-31 23:59:59,9,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡) ","98,010,734",new,댄스/팝 ,2020.07.11
9,2020-07-31 23:59:59,10,Dolphin,오마이걸 (OH MY GIRL) ,"90,187,877",1,댄스/팝 ,2020.04.27
10,2020-07-31 23:59:59,11,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL) ,"89,658,548",6,댄스/팝 ,2020.04.27
11,2020-07-31 23:59:59,12,사랑하게 될 줄 알았어,전미도 ,"85,732,561",9,"댄스/팝,
OST ",2020.05.22
12,2020-07-31 23:59:59,13,Into the I-LAND,아이유 (IU) ,"85,687,770",13,댄스/팝 ,2020.06.19
13,2020-07-31 23:59:59,14,Memories,Maroon 5 ,"74,956,363",1,팝 ,2019.09.20
14,2020-07-31 23:59:59,15,MORE & MORE,TWICE ,"73,612,757",11,댄스/팝 ,2020.06.01
15,2020-07-31 23:59:59,16,Dance Monkey,Tones And I ,"70,602,001",4,알앤비/소울 ,2019.08.29
16,2020-07-31 23:59:59,17,어떻게 지내,오반 (OVAN) ,"66,706,555",6,"인디,
랩/힙합 ",2020.03.05
17,2020-07-31 23:59:59,18,Monster,레드벨벳-아이린&슬기 ,"66,328,630",new,댄스/팝 ,2020.07.06
18,2020-07-31 23:59:59,19,METEOR,창모 (CHANGMO) ,"64,270,605",-,랩/힙합 ,2019.11.29
19,2020-07-31 23:59:59,20,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"64,113,672",8,"인디,
OST ",2019.08.23
20,2020-07-31 23:59:59,21,Don`t Start Now,Dua Lipa ,"63,274,746",-,팝 ,2020.03.27
21,2020-07-31 23:59:59,22,Blueming,아이유 (IU) ,"63,227,250",4,"댄스/팝,
발라드 ",2019.11.18
22,2020-07-31 23:59:59,23,아무노래,지코 (ZICO) ,"62,653,116",7,랩/힙합 ,2020.01.13
23,2020-07-31 23:59:59,24,PLAY (Feat. 창모),청하 ,"60,851,344",new,댄스/팝 ,2020.07.06
