,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2021-04-30 23:59:59,1,라일락,아이유 (IU) ,"160,141,442",15,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
1,2021-04-30 23:59:59,2,롤린 (Rollin`),브레이브걸스 (Brave Girls) ,"154,393,192",1,댄스/팝 ,2017.03.07
2,2021-04-30 23:59:59,3,Celebrity,아이유 (IU) ,"117,992,875",1,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
3,2021-04-30 23:59:59,4,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber ,"109,705,922",HOT,팝 ,2021.03.19
4,2021-04-30 23:59:59,5,운전만해 (We Ride),브레이브걸스 (Brave Girls) ,"95,161,763",50,댄스/팝 ,2020.08.14
5,2021-04-30 23:59:59,6,Coin,아이유 (IU) ,"91,675,532",32,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
6,2021-04-30 23:59:59,7,On The Ground,로제 (ROSE) ,"78,744,892",2,락/메탈 ,2021.03.12
7,2021-04-30 23:59:59,8,내 손을 잡아,아이유 (IU) ,"73,753,101",2,OST ,2011.05.25
8,2021-04-30 23:59:59,9,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지 ","72,542,114",5,댄스/팝 ,2021.03.05
9,2021-04-30 23:59:59,10,Dynamite,방탄소년단 ,"72,208,769",4,댄스/팝 ,2020.08.21
10,2021-04-30 23:59:59,11,Antidote,강다니엘 ,"68,839,665",new,알앤비/소울 ,2021.04.13
11,2021-04-30 23:59:59,12,밤하늘의 별을(2020),경서 ,"62,739,112",5,"인디,
발라드 ",2020.11.14
12,2021-04-30 23:59:59,13,봄 안녕 봄,아이유 (IU) ,"62,268,815",61,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
13,2021-04-30 23:59:59,14,별빛 같은 나의 사랑아,임영웅 ,"60,534,862",11,성인가요 ,2021.03.09
14,2021-04-30 23:59:59,15,어푸 (Ah puh),아이유 (IU) ,"57,893,974",82,"댄스/팝,
발라드,
알앤비/소울 ",2021.03.25
