,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2020-11-30 23:59:59,1,Dynamite,방탄소년단 ,"130,109,398",-,댄스/팝 ,2020.08.21
1,2020-11-30 23:59:59,2,힘든 건 사랑이 아니다,임창정 ,"116,413,812",18,발라드 ,2020.10.19
2,2020-11-30 23:59:59,3,Lovesick Girls,BLACKPINK ,"111,279,143",-,"댄스/팝,
랩/힙합 ",2020.10.02
3,2020-11-30 23:59:59,4,잠이 오질 않네요,장범준 ,"106,666,930",75,발라드 ,2020.10.24
4,2020-11-30 23:59:59,5,취기를 빌려 (취향저격 그녀 X 산들),산들 ,"95,550,042",1,발라드 ,2020.07.20
5,2020-11-30 23:59:59,6,DON`T TOUCH ME,환불원정대 ,"94,336,682",4,댄스/팝 ,2020.10.10
6,2020-11-30 23:59:59,7,딩가딩가 (Dingga),마마무 (Mamamoo) ,"78,792,777",61,댄스/팝 ,2020.10.20
7,2020-11-30 23:59:59,8,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS ","75,859,090",1,팝 ,2020.10.02
8,2020-11-30 23:59:59,9,오래된 노래,스탠딩 에그(Standing Egg) ,"72,217,152",3,발라드 ,2012.09.04
9,2020-11-30 23:59:59,10,I CAN`T STOP ME,TWICE ,"70,724,886",HOT,댄스/팝 ,2020.10.26
10,2020-11-30 23:59:59,11,When We Disco (Duet with 선미),박진영 ,"69,773,554",6,댄스/팝 ,2020.08.12
11,2020-11-30 23:59:59,12,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN) ,"69,525,927",4,발라드 ,2020.08.23
12,2020-11-30 23:59:59,13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"59,975,025",4,"인디,
OST ",2019.08.23
13,2020-11-30 23:59:59,14,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU) ,"58,347,403",3,댄스/팝 ,2020.05.06
14,2020-11-30 23:59:59,15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"57,778,448",6,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
15,2020-11-30 23:59:59,16,가을밤에 든 생각,잔나비 ,"56,912,745",new,"인디,
댄스/팝 ",2020.11.06
16,2020-11-30 23:59:59,17,How You Like That,BLACKPINK ,"56,596,850",4,댄스/팝 ,2020.06.26
17,2020-11-30 23:59:59,18,눈누난나 (NUNU NANA),제시(Jessi) ,"55,826,440",11,랩/힙합 ,2020.07.30
18,2020-11-30 23:59:59,19,마리아 (Maria),화사(Hwa Sa) ,"55,231,735",9,댄스/팝 ,2020.06.29
19,2020-11-30 23:59:59,20,Dolphin,오마이걸 (OH MY GIRL) ,"54,294,097",8,댄스/팝 ,2020.04.27
20,2020-11-30 23:59:59,21,Life Goes On,방탄소년단 ,"52,099,016",new,"댄스/팝,
랩/힙합,
알앤비/소울 ",2020.11.20
21,2020-11-30 23:59:59,22,늦은 밤 너의 집 앞 골목길에서,노을 ,"51,528,234",2,발라드 ,2019.11.07
22,2020-11-30 23:59:59,23,놓아줘 (with 태연),크러쉬 (CRUSH) ,"51,228,928",23,"랩/힙합,
알앤비/소울 ",2020.10.20
23,2020-11-30 23:59:59,24,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) ","51,215,760",new,랩/힙합 ,2020.11.21
24,2020-11-30 23:59:59,25,어떻게 지내,오반 (OVAN) ,"49,125,423",3,"인디,
랩/힙합 ",2020.03.05
25,2020-11-30 23:59:59,26,아로하,조정석 ,"48,767,573",11,"인디,
OST ",2020.03.27
26,2020-11-30 23:59:59,27,Blueming,아이유 (IU) ,"48,690,119",11,"댄스/팝,
발라드 ",2019.11.18
27,2020-11-30 23:59:59,28,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"47,241,984",1,"발라드,
OST ",2018.03.20
28,2020-11-30 23:59:59,29,HERO,임영웅 ,"47,187,586",new,성인가요 ,2020.11.04
29,2020-11-30 23:59:59,30,METEOR,창모 (CHANGMO) ,"45,939,304",2,랩/힙합 ,2019.11.29
30,2020-11-30 23:59:59,31,이제 나만 믿어요,임영웅 ,"45,283,458",13,성인가요 ,2020.04.03
31,2020-11-30 23:59:59,32,홀로,이하이 ,"45,146,874",14,알앤비/소울 ,2020.07.23
32,2020-11-30 23:59:59,33,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재 ,"45,038,163",HOT,"인디,
발라드 ",2020.10.23
33,2020-11-30 23:59:59,34,Memories,Maroon 5 ,"44,073,007",9,팝 ,2019.09.20
34,2020-11-30 23:59:59,35,거짓말이라도 해서 널 보고싶어,백지영 ,"43,693,715",1,발라드 ,2020.07.14
35,2020-11-30 23:59:59,36,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"43,487,963",9,"랩/힙합,
알앤비/소울 ",2019.04.12
36,2020-11-30 23:59:59,37,너도 아는,폴킴 ,"42,981,847",HOT,발라드 ,2020.10.27
37,2020-11-30 23:59:59,38,Dance Monkey,Tones And I ,"42,653,252",12,알앤비/소울 ,2019.08.29
38,2020-11-30 23:59:59,39,Downtown Baby,블루 (BLOO) ,"42,151,175",20,랩/힙합 ,2017.12.06
39,2020-11-30 23:59:59,40,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡) ","42,023,568",26,댄스/팝 ,2020.07.18
40,2020-11-30 23:59:59,41,Bad Boy,"청하, Christopher ","41,084,696",8,팝 ,2020.09.23
41,2020-11-30 23:59:59,42,AYA,마마무 (Mamamoo) ,"40,733,568",new,댄스/팝 ,2020.11.03
42,2020-11-30 23:59:59,43,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL) ,"40,196,651",20,댄스/팝 ,2020.04.27
