,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2019-12-31 23:59:59,1,Blueming,아이유 (IU) ,"178,930,989",8,"댄스/팝,
발라드 ",2019.11.18
1,2019-12-31 23:59:59,2,늦은 밤 너의 집 앞 골목길에서,노을 ,"151,487,020",-,발라드 ,2019.11.07
2,2019-12-31 23:59:59,3,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic) ","142,783,926",new,랩/힙합 ,2019.12.03
3,2019-12-31 23:59:59,4,Into the Unknown,"Idina Menzel, AURORA ","141,900,690",51,"팝,
OST ",2019.11.15
4,2019-12-31 23:59:59,5,나의 오랜 연인에게,다비치 ,"132,400,108",new,발라드 ,2019.12.03
5,2019-12-31 23:59:59,6,Square (2017),백예린 ,"128,341,295",new,"댄스/팝,
알앤비/소울 ",2019.12.10
6,2019-12-31 23:59:59,7,Love poem,아이유 (IU) ,"128,248,418",6,"댄스/팝,
발라드 ",2019.11.18
7,2019-12-31 23:59:59,8,HIP,마마무 (Mamamoo) ,"125,572,442",7,댄스/팝 ,2019.11.14
8,2019-12-31 23:59:59,9,METEOR,창모 (CHANGMO) ,"121,178,425",new,랩/힙합 ,2019.11.29
9,2019-12-31 23:59:59,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"111,684,048",7,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
10,2019-12-31 23:59:59,11,헤어진 우리가 지켜야 할 것들,"김나영, 양다일 ","104,811,532",new,발라드 ,2019.12.01
11,2019-12-31 23:59:59,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"102,232,612",7,"인디,
OST ",2019.08.23
12,2019-12-31 23:59:59,13,십이월 이십오일의 고백,정승환 ,"102,229,154",new,발라드 ,2019.12.05
13,2019-12-31 23:59:59,14,이 번호로 전화해줘,바이브 (Vibe) ,"87,619,929",2,발라드 ,2019.11.13
14,2019-12-31 23:59:59,15,Show Yourself,"Idina Menzel, Evan Rachel Wood ","84,680,785",77,"팝,
OST ",2019.11.15
15,2019-12-31 23:59:59,16,첫 겨울이니까,"성시경, 아이유 (IU) ","83,998,854",new,발라드 ,2019.12.09
16,2019-12-31 23:59:59,17,조금 취했어 (Prod. 2soo),임재현 ,"83,249,511",9,"인디,
발라드 ",2019.09.24
17,2019-12-31 23:59:59,18,안녕,폴킴 ,"78,161,434",5,"발라드,
OST ",2019.08.12
18,2019-12-31 23:59:59,19,사랑이란 멜로는 없어,전상근 ,"77,522,300",9,발라드 ,2019.09.08
19,2019-12-31 23:59:59,20,새 사랑,송하예 ,"77,271,422",13,발라드 ,2019.10.12
20,2019-12-31 23:59:59,21,시간의 바깥,아이유 (IU) ,"76,510,724",7,"댄스/팝,
발라드 ",2019.11.18
21,2019-12-31 23:59:59,22,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"74,938,401",8,"인디,
발라드,
알앤비/소울 ",2019.06.09
22,2019-12-31 23:59:59,23,"인기 (Feat. 송가인, 챈슬러)",MC몽 ,"72,798,537",19,랩/힙합 ,2019.10.25
23,2019-12-31 23:59:59,24,Santa Tell Me,Ariana Grande ,"70,464,558",HOT,"캐롤,
팝,
알앤비/소울 ",2014.11.24
24,2019-12-31 23:59:59,25,All I Want For Christmas Is You,Mariah Carey ,"69,715,008",94,"캐롤,
팝 ",2019.11.01
25,2019-12-31 23:59:59,26,Obsession,EXO ,"68,069,899",77,댄스/팝 ,2019.11.27
26,2019-12-31 23:59:59,27,있어줘요,장덕철 ,"66,487,103",16,발라드 ,2019.10.09
27,2019-12-31 23:59:59,28,불티 (Spark),태연 (TAEYEON) ,"66,096,190",22,"댄스/팝,
발라드,
알앤비/소울 ",2019.10.28
28,2019-12-31 23:59:59,29,시든 꽃에 물을 주듯,HYNN(박혜원) ,"65,377,462",13,발라드 ,2019.03.31
29,2019-12-31 23:59:59,30,2002,Anne-Marie ,"63,159,714",9,"알앤비/소울,
일렉트로닉 ",2018.04.27
30,2019-12-31 23:59:59,31,Psycho,레드벨벳(Red Velvet) ,"62,691,579",new,댄스/팝 ,2019.12.23
31,2019-12-31 23:59:59,32,포장마차,황인욱 ,"61,651,139",12,발라드 ,2019.06.20
32,2019-12-31 23:59:59,33,니 소식,송하예 ,"61,234,071",16,발라드 ,2019.05.11
33,2019-12-31 23:59:59,34,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"59,517,739",4,"발라드,
OST ",2018.03.20
34,2019-12-31 23:59:59,35,숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),태연 (TAEYEON) ,"58,627,591",76,"댄스/팝,
OST ",2019.11.15
35,2019-12-31 23:59:59,36,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"56,354,635",2,"랩/힙합,
알앤비/소울 ",2019.04.12
36,2019-12-31 23:59:59,37,unlucky,아이유 (IU) ,"55,438,005",3,"댄스/팝,
발라드 ",2019.11.18
37,2019-12-31 23:59:59,38,이별주,황인욱 ,"55,147,458",11,발라드 ,2019.11.01
38,2019-12-31 23:59:59,39,사랑에 연습이 있었다면 (Prod. 2soo),임재현 ,"53,891,152",14,발라드 ,2018.09.25
39,2019-12-31 23:59:59,40,워커홀릭,볼빨간사춘기 ,"53,792,640",21,"인디,
댄스/팝 ",2019.09.10
40,2019-12-31 23:59:59,41,기억해줘요 내 모든 날과 그때를,거미 ,"53,249,980",18,"발라드,
OST ",2019.08.04
41,2019-12-31 23:59:59,42,Snowman,Sia ,"52,472,461",91,캐롤 ,2017.11.11
42,2019-12-31 23:59:59,43,다시 만날까 봐,V.O.S ,"51,888,326",1,발라드 ,2019.09.01
43,2019-12-31 23:59:59,44,bad guy,Billie Eilish ,"51,773,235",10,팝 ,2019.03.29
44,2019-12-31 23:59:59,45,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz) ,"51,291,942",14,발라드 ,2019.05.27
45,2019-12-31 23:59:59,46,Senorita,"Shawn Mendes, Camila Cabello ","49,859,921",17,팝 ,2019.06.21
46,2019-12-31 23:59:59,47,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원) ,"49,443,331",17,발라드 ,2019.11.12
47,2019-12-31 23:59:59,48,너를 만나,폴킴 ,"48,955,855",7,발라드 ,2018.10.29
48,2019-12-31 23:59:59,49,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU) ,"47,740,857",HOT,댄스/팝 ,2010.12.09
49,2019-12-31 23:59:59,50,술이 문제야,"장혜진, 윤민수 ","47,181,070",18,발라드 ,2019.06.18
50,2019-12-31 23:59:59,51,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영 ,"46,340,686",new,발라드 ,2019.12.22
51,2019-12-31 23:59:59,52,그대라는 시,태연 (TAEYEON) ,"45,813,453",16,"발라드,
OST ",2019.07.21
52,2019-12-31 23:59:59,53,BAND,"창모, Hash Swan, ASH ISLAND, 김효은 ","45,598,598",7,랩/힙합 ,2019.06.08
53,2019-12-31 23:59:59,54,가을밤 떠난 너,케이시 (Kassy) ,"45,409,235",28,발라드 ,2019.09.05
54,2019-12-31 23:59:59,55,허전해,폴킴 ,"44,357,060",31,알앤비/소울 ,2019.10.07
55,2019-12-31 23:59:59,56,LION,(여자)아이들 ,"43,915,024",34,댄스/팝 ,2019.10.25
56,2019-12-31 23:59:59,57,Feel Special,TWICE ,"43,852,343",22,댄스/팝 ,2019.09.23
57,2019-12-31 23:59:59,58,사계 (Four Seasons),태연 (TAEYEON) ,"43,371,566",15,"댄스/팝,
발라드 ",2019.03.24
58,2019-12-31 23:59:59,59,그 사람,아이유 (IU) ,"42,557,921",8,"댄스/팝,
발라드 ",2019.11.18
59,2019-12-31 23:59:59,60,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX) ","41,277,590",new,"캐롤,
댄스/팝 ",2012.12.06
60,2019-12-31 23:59:59,61,"FEVER (Feat. 수퍼비, BIBI)",박진영 ,"40,545,435",new,댄스/팝 ,2019.12.01
61,2019-12-31 23:59:59,62,Paris In The Rain,Lauv ,"40,452,291",15,팝 ,2018.05.31
62,2019-12-31 23:59:59,63,날 보러 와요 (Come See Me),AOA ,"39,527,330",HOT,댄스/팝 ,2019.11.26
63,2019-12-31 23:59:59,64,샤넬 (Feat. 박봄),MC몽 ,"39,494,226",46,랩/힙합 ,2019.10.25
64,2019-12-31 23:59:59,65,헤어지자 (Prod. 정키),휘인 (Whee In) ,"39,074,578",26,발라드 ,2019.09.04
65,2019-12-31 23:59:59,66,자장가,아이유 (IU) ,"38,603,391",5,"댄스/팝,
발라드 ",2019.11.18
66,2019-12-31 23:59:59,67,Speechless (Full),Naomi Scott ,"38,081,171",14,"팝,
OST ",2019.05.22
67,2019-12-31 23:59:59,68,너에게 못했던 내 마지막 말은,다비치 ,"38,039,324",9,발라드 ,2019.05.17
68,2019-12-31 23:59:59,69,Popo (How deep is our love?),백예린 ,"37,999,668",new,"댄스/팝,
알앤비/소울 ",2019.12.10
69,2019-12-31 23:59:59,70,Some Things Never Change,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Cast of Frozen 2 ","37,431,218",HOT,"팝,
OST ",2019.11.15
70,2019-12-31 23:59:59,71,영화 속에 나오는 주인공처럼,펀치 (Punch) ,"37,225,062",21,"발라드,
OST ",2019.10.31
71,2019-12-31 23:59:59,72,잘 살고 있다,V.O.S ,"36,215,716",new,발라드 ,2019.12.02
72,2019-12-31 23:59:59,73,헤어져줘서 고마워,벤 (Ben) ,"35,657,057",25,발라드 ,2019.07.03
73,2019-12-31 23:59:59,74,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE) ,"35,181,566",11,발라드 ,2016.03.30
74,2019-12-31 23:59:59,75,나의 어깨에 기대어요,10cm ,"34,627,114",23,"발라드,
OST ",2019.07.20
75,2019-12-31 23:59:59,76,벗,닐로 (Nilo) ,"34,146,723",20,발라드 ,2019.08.26
76,2019-12-31 23:59:59,77,주저하는 연인들을 위해,잔나비 ,"33,805,152",12,"인디,
락/메탈 ",2019.03.13
77,2019-12-31 23:59:59,78,우리 어떻게 할까요,첸 (CHEN) ,"33,118,395",29,발라드 ,2019.10.01
78,2019-12-31 23:59:59,79,솔직하게 말해서 나,김나영 ,"32,880,498",22,발라드 ,2019.06.09
79,2019-12-31 23:59:59,80,0310,백예린 ,"32,829,043",new,"댄스/팝,
알앤비/소울 ",2019.12.10
80,2019-12-31 23:59:59,81,떨어지는 낙엽까지도,헤이즈 (Heize) ,"31,886,839",48,알앤비/소울 ,2019.10.13
81,2019-12-31 23:59:59,82,그때가 좋았어,케이시 (Kassy) ,"31,552,359",28,발라드 ,2018.12.31
82,2019-12-31 23:59:59,83,빌었어,창모 (CHANGMO) ,"31,074,840",new,랩/힙합 ,2019.11.29
83,2019-12-31 23:59:59,84,봄날,방탄소년단 ,"30,981,883",3,"댄스/팝,
랩/힙합 ",2017.02.13
84,2019-12-31 23:59:59,85,All Is Found,Evan Rachel Wood ,"29,677,806",HOT,"팝,
OST ",2019.11.15
85,2019-12-31 23:59:59,86,노래방에서,장범준 ,"27,967,294",26,댄스/팝 ,2019.03.21
86,2019-12-31 23:59:59,87,이별행동,이우 ,"27,816,960",19,발라드 ,2019.10.06
87,2019-12-31 23:59:59,88,이별은 늘 그렇게 (Duet. 정은지),허각 ,"27,402,101",43,발라드 ,2019.10.31
88,2019-12-31 23:59:59,89,Trouble,EXO ,"27,226,004",HOT,댄스/팝 ,2019.11.27
89,2019-12-31 23:59:59,90,IDOL,방탄소년단 ,"25,895,738",3,랩/힙합 ,2018.08.24
90,2019-12-31 23:59:59,91,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO) ,"25,082,903",33,랩/힙합 ,2019.09.30
91,2019-12-31 23:59:59,92,우리 왜 헤어져야 해,신예영 ,"24,891,134",HOT,발라드 ,2019.11.20
92,2019-12-31 23:59:59,93,5월의 밤,자이언티(Zion.T) ,"24,258,007",56,발라드 ,2019.11.06
93,2019-12-31 23:59:59,94,춤 (Groove),EXO ,"24,131,338",HOT,댄스/팝 ,2019.11.27
94,2019-12-31 23:59:59,95,비,폴킴 ,"23,537,395",18,알앤비/소울 ,2016.06.21
95,2019-12-31 23:59:59,96,FANCY,TWICE ,"23,484,865",20,댄스/팝 ,2019.04.22
